Benchmark::Car::uid,Benchmark::Car::lat,Benchmark::Car::lon,Benchmark::Car::speed,time
1,1.000,0.500,21.000,0.001
2,2.000,1.000,22.100,0.002
3,3.000,1.500,23.200,0.003
4,4.000,2.000,24.300,0.004
5,5.000,2.500,25.400,0.005
6,6.000,3.000,26.000,0.006
7,7.000,0.000,27.100,0.007
8,8.000,0.500,28.200,0.008
9,9.000,1.000,29.300,0.009
10,10.000,1.500,30.400,0.010
11,11.000,2.000,20.000,0.011
12,12.000,2.500,21.100,0.012
13,13.000,3.000,22.200,0.013
14,14.000,0.000,23.300,0.014
15,15.000,0.500,24.400,0.015
16,16.000,1.000,25.000,0.016
17,17.000,1.500,26.100,0.017
18,18.000,2.000,27.200,0.018
19,19.000,2.500,28.300,0.019
20,20.000,3.000,29.400,0.020
21,21.000,0.000,30.000,0.021
22,22.000,0.500,20.100,0.022
23,23.000,1.000,21.200,0.023
24,24.000,1.500,22.300,0.024
25,25.000,2.000,23.400,0.025
26,26.000,2.500,24.000,0.026
27,27.000,3.000,25.100,0.027
28,28.000,0.000,26.200,0.028
29,29.000,0.500,27.300,0.029
30,30.000,1.000,28.400,0.030
31,31.000,1.500,29.000,0.031
32,32.000,2.000,30.100,0.032
33,33.000,2.500,20.200,0.033
34,34.000,3.000,21.300,0.034
35,35.000,0.000,22.400,0.035
36,36.000,0.500,23.000,0.036
37,37.000,1.000,24.100,0.037
38,38.000,1.500,25.200,0.038
39,39.000,2.000,26.300,0.039
40,40.000,2.500,27.400,0.040
41,41.000,3.000,28.000,0.041
42,42.000,0.000,29.100,0.042
43,43.000,0.500,30.200,0.043
44,44.000,1.000,20.300,0.044
45,45.000,1.500,21.400,0.045
46,46.000,2.000,22.000,0.046
47,47.000,2.500,23.100,0.047
48,48.000,3.000,24.200,0.048
49,49.000,0.000,25.300,0.049
50,50.000,0.500,26.400,0.050
1,1.000,0.500,21.000,0.051
2,2.000,1.000,22.100,0.052
3,3.000,1.500,23.200,0.053
4,4.000,2.000,24.300,0.054
5,5.000,2.500,25.400,0.055
6,6.000,3.000,26.000,0.056
7,7.000,0.000,27.100,0.057
8,8.000,0.500,28.200,0.058
9,9.000,1.000,29.300,0.059
10,10.000,1.500,30.400,0.060
11,11.000,2.000,20.000,0.061
12,12.000,2.500,21.100,0.062
13,13.000,3.000,22.200,0.063
14,14.000,0.000,23.300,0.064
15,15.000,0.500,24.400,0.065
16,16.000,1.000,25.000,0.066
17,17.000,1.500,26.100,0.067
18,18.000,2.000,27.200,0.068
19,19.000,2.500,28.300,0.069
20,20.000,3.000,29.400,0.070
21,21.000,0.000,30.000,0.071
22,22.000,0.500,20.100,0.072
23,23.000,1.000,21.200,0.073
24,24.000,1.500,22.300,0.074
25,25.000,2.000,23.400,0.075
26,26.000,2.500,24.000,0.076
27,27.000,3.000,25.100,0.077
28,28.000,0.000,26.200,0.078
29,29.000,0.500,27.300,0.079
30,30.000,1.000,28.400,0.080
31,31.000,1.500,29.000,0.081
32,32.000,2.000,30.100,0.082
33,33.000,2.500,20.200,0.083
34,34.000,3.000,21.300,0.084
35,35.000,0.000,22.400,0.085
36,36.000,0.500,23.000,0.086
37,37.000,1.000,24.100,0.087
38,38.000,1.500,25.200,0.088
39,39.000,2.000,26.300,0.089
40,40.000,2.500,27.400,0.090
41,41.000,3.000,28.000,0.091
42,42.000,0.000,29.100,0.092
43,43.000,0.500,30.200,0.093
44,44.000,1.000,20.300,0.094
45,45.000,1.500,21.400,0.095
46,46.000,2.000,22.000,0.096
47,47.000,2.500,23.100,0.097
48,48.000,3.000,24.200,0.098
49,49.000,0.000,25.300,0.099
50,50.000,0.500,26.400,0.100
1,1.000,0.500,21.000,0.101
2,2.000,1.000,22.100,0.102
3,3.000,1.500,23.200,0.103
4,4.000,2.000,24.300,0.104
5,5.000,2.500,25.400,0.105
6,6.000,3.000,26.000,0.106
7,7.000,0.000,27.100,0.107
8,8.000,0.500,28.200,0.108
9,9.000,1.000,29.300,0.109
10,10.000,1.500,30.400,0.110
11,11.000,2.000,20.000,0.111
12,12.000,2.500,21.100,0.112
13,13.000,3.000,22.200,0.113
14,14.000,0.000,23.300,0.114
15,15.000,0.500,24.400,0.115
16,16.000,1.000,25.000,0.116
17,17.000,1.500,26.100,0.117
18,18.000,2.000,27.200,0.118
19,19.000,2.500,28.300,0.119
20,20.000,3.000,29.400,0.120
21,21.000,0.000,30.000,0.121
22,22.000,0.500,20.100,0.122
23,23.000,1.000,21.200,0.123
24,24.000,1.500,22.300,0.124
25,25.000,2.000,23.400,0.125
26,26.000,2.500,24.000,0.126
27,27.000,3.000,25.100,0.127
28,28.000,0.000,26.200,0.128
29,29.000,0.500,27.300,0.129
30,30.000,1.000,28.400,0.130
31,31.000,1.500,29.000,0.131
32,32.000,2.000,30.100,0.132
33,33.000,2.500,20.200,0.133
34,34.000,3.000,21.300,0.134
35,35.000,0.000,22.400,0.135
36,36.000,0.500,23.000,0.136
37,37.000,1.000,24.100,0.137
38,38.000,1.500,25.200,0.138
39,39.000,2.000,26.300,0.139
40,40.000,2.500,27.400,0.140
41,41.000,3.000,28.000,0.141
42,42.000,0.000,29.100,0.142
43,43.000,0.500,30.200,0.143
44,44.000,1.000,20.300,0.144
45,45.000,1.500,21.400,0.145
46,46.000,2.000,22.000,0.146
47,47.000,2.500,23.100,0.147
48,48.000,3.000,24.200,0.148
49,49.000,0.000,25.300,0.149
50,50.000,0.500,26.400,0.150
1,1.000,0.500,21.000,0.151
2,2.000,1.000,22.100,0.152
3,3.000,1.500,23.200,0.153
4,4.000,2.000,24.300,0.154
5,5.000,2.500,25.400,0.155
6,6.000,3.000,26.000,0.156
7,7.000,0.000,27.100,0.157
8,8.000,0.500,28.200,0.158
9,9.000,1.000,29.300,0.159
10,10.000,1.500,30.400,0.160
11,11.000,2.000,20.000,0.161
12,12.000,2.500,21.100,0.162
13,13.000,3.000,22.200,0.163
14,14.000,0.000,23.300,0.164
15,15.000,0.500,24.400,0.165
16,16.000,1.000,25.000,0.166
17,17.000,1.500,26.100,0.167
18,18.000,2.000,27.200,0.168
19,19.000,2.500,28.300,0.169
20,20.000,3.000,29.400,0.170
21,21.000,0.000,30.000,0.171
22,22.000,0.500,20.100,0.172
23,23.000,1.000,21.200,0.173
24,24.000,1.500,22.300,0.174
25,25.000,2.000,23.400,0.175
26,26.000,2.500,24.000,0.176
27,27.000,3.000,25.100,0.177
28,28.000,0.000,26.200,0.178
29,29.000,0.500,27.300,0.179
30,30.000,1.000,28.400,0.180
31,31.000,1.500,29.000,0.181
32,32.000,2.000,30.100,0.182
33,33.000,2.500,20.200,0.183
34,34.000,3.000,21.300,0.184
35,35.000,0.000,22.400,0.185
36,36.000,0.500,23.000,0.186
37,37.000,1.000,24.100,0.187
38,38.000,1.500,25.200,0.188
39,39.000,2.000,26.300,0.189
40,40.000,2.500,27.400,0.190
41,41.000,3.000,28.000,0.191
42,42.000,0.000,29.100,0.192
43,43.000,0.500,30.200,0.193
44,44.000,1.000,20.300,0.194
45,45.000,1.500,21.400,0.195
46,46.000,2.000,22.000,0.196
47,47.000,2.500,23.100,0.197
48,48.000,3.000,24.200,0.198
49,49.000,0.000,25.300,0.199
50,50.000,0.500,26.400,0.200
1,1.000,0.500,21.000,0.201
2,2.000,1.000,22.100,0.202
3,3.000,1.500,23.200,0.203
4,4.000,2.000,24.300,0.204
5,5.000,2.500,25.400,0.205
6,6.000,3.000,26.000,0.206
7,7.000,0.000,27.100,0.207
8,8.000,0.500,28.200,0.208
9,9.000,1.000,29.300,0.209
10,10.000,1.500,30.400,0.210
11,11.000,2.000,20.000,0.211
12,12.000,2.500,21.100,0.212
13,13.000,3.000,22.200,0.213
14,14.000,0.000,23.300,0.214
15,15.000,0.500,24.400,0.215
16,16.000,1.000,25.000,0.216
17,17.000,1.500,26.100,0.217
18,18.000,2.000,27.200,0.218
19,19.000,2.500,28.300,0.219
20,20.000,3.000,29.400,0.220
21,21.000,0.000,30.000,0.221
22,22.000,0.500,20.100,0.222
23,23.000,1.000,21.200,0.223
24,24.000,1.500,22.300,0.224
25,25.000,2.000,23.400,0.225
26,26.000,2.500,24.000,0.226
27,27.000,3.000,25.100,0.227
28,28.000,0.000,26.200,0.228
29,29.000,0.500,27.300,0.229
30,30.000,1.000,28.400,0.230
31,31.000,1.500,29.000,0.231
32,32.000,2.000,30.100,0.232
33,33.000,2.500,20.200,0.233
34,34.000,3.000,21.300,0.234
35,35.000,0.000,22.400,0.235
36,36.000,0.500,23.000,0.236
37,37.000,1.000,24.100,0.237
38,38.000,1.500,25.200,0.238
39,39.000,2.000,26.300,0.239
40,40.000,2.500,27.400,0.240
41,41.000,3.000,28.000,0.241
42,42.000,0.000,29.100,0.242
43,43.000,0.500,30.200,0.243
44,44.000,1.000,20.300,0.244
45,45.000,1.500,21.400,0.245
46,46.000,2.000,22.000,0.246
47,47.000,2.500,23.100,0.247
48,48.000,3.000,24.200,0.248
49,49.000,0.000,25.300,0.249
50,50.000,0.500,26.400,0.250
1,1.000,0.500,21.000,0.251
2,2.000,1.000,22.100,0.252
3,3.000,1.500,23.200,0.253
4,4.000,2.000,24.300,0.254
5,5.000,2.500,25.400,0.255
6,6.000,3.000,26.000,0.256
7,7.000,0.000,27.100,0.257
8,8.000,0.500,28.200,0.258
9,9.000,1.000,29.300,0.259
10,10.000,1.500,30.400,0.260
11,11.000,2.000,20.000,0.261
12,12.000,2.500,21.100,0.262
13,13.000,3.000,22.200,0.263
14,14.000,0.000,23.300,0.264
15,15.000,0.500,24.400,0.265
16,16.000,1.000,25.000,0.266
17,17.000,1.500,26.100,0.267
18,18.000,2.000,27.200,0.268
19,19.000,2.500,28.300,0.269
20,20.000,3.000,29.400,0.270
21,21.000,0.000,30.000,0.271
22,22.000,0.500,20.100,0.272
23,23.000,1.000,21.200,0.273
24,24.000,1.500,22.300,0.274
25,25.000,2.000,23.400,0.275
26,26.000,2.500,24.000,0.276
27,27.000,3.000,25.100,0.277
28,28.000,0.000,26.200,0.278
29,29.000,0.500,27.300,0.279
30,30.000,1.000,28.400,0.280
31,31.000,1.500,29.000,0.281
32,32.000,2.000,30.100,0.282
33,33.000,2.500,20.200,0.283
34,34.000,3.000,21.300,0.284
35,35.000,0.000,22.400,0.285
36,36.000,0.500,23.000,0.286
37,37.000,1.000,24.100,0.287
38,38.000,1.500,25.200,0.288
39,39.000,2.000,26.300,0.289
40,40.000,2.500,27.400,0.290
41,41.000,3.000,28.000,0.291
42,42.000,0.000,29.100,0.292
43,43.000,0.500,30.200,0.293
44,44.000,1.000,20.300,0.294
45,45.000,1.500,21.400,0.295
46,46.000,2.000,22.000,0.296
47,47.000,2.500,23.100,0.297
48,48.000,3.000,24.200,0.298
49,49.000,0.000,25.300,0.299
50,50.000,0.500,26.400,0.300
1,1.000,0.500,21.000,0.301
2,2.000,1.000,22.100,0.302
3,3.000,1.500,23.200,0.303
4,4.000,2.000,24.300,0.304
5,5.000,2.500,25.400,0.305
6,6.000,3.000,26.000,0.306
7,7.000,0.000,27.100,0.307
8,8.000,0.500,28.200,0.308
9,9.000,1.000,29.300,0.309
10,10.000,1.500,30.400,0.310
11,11.000,2.000,20.000,0.311
12,12.000,2.500,21.100,0.312
13,13.000,3.000,22.200,0.313
14,14.000,0.000,23.300,0.314
15,15.000,0.500,24.400,0.315
16,16.000,1.000,25.000,0.316
17,17.000,1.500,26.100,0.317
18,18.000,2.000,27.200,0.318
19,19.000,2.500,28.300,0.319
20,20.000,3.000,29.400,0.320
21,21.000,0.000,30.000,0.321
22,22.000,0.500,20.100,0.322
23,23.000,1.000,21.200,0.323
24,24.000,1.500,22.300,0.324
25,25.000,2.000,23.400,0.325
26,26.000,2.500,24.000,0.326
27,27.000,3.000,25.100,0.327
28,28.000,0.000,26.200,0.328
29,29.000,0.500,27.300,0.329
30,30.000,1.000,28.400,0.330
31,31.000,1.500,29.000,0.331
32,32.000,2.000,30.100,0.332
33,33.000,2.500,20.200,0.333
34,34.000,3.000,21.300,0.334
35,35.000,0.000,22.400,0.335
36,36.000,0.500,23.000,0.336
37,37.000,1.000,24.100,0.337
38,38.000,1.500,25.200,0.338
39,39.000,2.000,26.300,0.339
40,40.000,2.500,27.400,0.340
41,41.000,3.000,28.000,0.341
42,42.000,0.000,29.100,0.342
43,43.000,0.500,30.200,0.343
44,44.000,1.000,20.300,0.344
45,45.000,1.500,21.400,0.345
46,46.000,2.000,22.000,0.346
47,47.000,2.500,23.100,0.347
48,48.000,3.000,24.200,0.348
49,49.000,0.000,25.300,0.349
50,50.000,0.500,26.400,0.350
1,1.000,0.500,21.000,0.351
2,2.000,1.000,22.100,0.352
3,3.000,1.500,23.200,0.353
4,4.000,2.000,24.300,0.354
5,5.000,2.500,25.400,0.355
6,6.000,3.000,26.000,0.356
7,7.000,0.000,27.100,0.357
8,8.000,0.500,28.200,0.358
9,9.000,1.000,29.300,0.359
10,10.000,1.500,30.400,0.360
11,11.000,2.000,20.000,0.361
12,12.000,2.500,21.100,0.362
13,13.000,3.000,22.200,0.363
14,14.000,0.000,23.300,0.364
15,15.000,0.500,24.400,0.365
16,16.000,1.000,25.000,0.366
17,17.000,1.500,26.100,0.367
18,18.000,2.000,27.200,0.368
19,19.000,2.500,28.300,0.369
20,20.000,3.000,29.400,0.370
21,21.000,0.000,30.000,0.371
22,22.000,0.500,20.100,0.372
23,23.000,1.000,21.200,0.373
24,24.000,1.500,22.300,0.374
25,25.000,2.000,23.400,0.375
26,26.000,2.500,24.000,0.376
27,27.000,3.000,25.100,0.377
28,28.000,0.000,26.200,0.378
29,29.000,0.500,27.300,0.379
30,30.000,1.000,28.400,0.380
31,31.000,1.500,29.000,0.381
32,32.000,2.000,30.100,0.382
33,33.000,2.500,20.200,0.383
34,34.000,3.000,21.300,0.384
35,35.000,0.000,22.400,0.385
36,36.000,0.500,23.000,0.386
37,37.000,1.000,24.100,0.387
38,38.000,1.500,25.200,0.388
39,39.000,2.000,26.300,0.389
40,40.000,2.500,27.400,0.390
41,41.000,3.000,28.000,0.391
42,42.000,0.000,29.100,0.392
43,43.000,0.500,30.200,0.393
44,44.000,1.000,20.300,0.394
45,45.000,1.500,21.400,0.395
46,46.000,2.000,22.000,0.396
47,47.000,2.500,23.100,0.397
48,48.000,3.000,24.200,0.398
49,49.000,0.000,25.300,0.399
50,50.000,0.500,26.400,0.400
1,1.000,0.500,21.000,0.401
2,2.000,1.000,22.100,0.402
3,3.000,1.500,23.200,0.403
4,4.000,2.000,24.300,0.404
5,5.000,2.500,25.400,0.405
6,6.000,3.000,26.000,0.406
7,7.000,0.000,27.100,0.407
8,8.000,0.500,28.200,0.408
9,9.000,1.000,29.300,0.409
10,10.000,1.500,30.400,0.410
11,11.000,2.000,20.000,0.411
12,12.000,2.500,21.100,0.412
13,13.000,3.000,22.200,0.413
14,14.000,0.000,23.300,0.414
15,15.000,0.500,24.400,0.415
16,16.000,1.000,25.000,0.416
17,17.000,1.500,26.100,0.417
18,18.000,2.000,27.200,0.418
19,19.000,2.500,28.300,0.419
20,20.000,3.000,29.400,0.420
21,21.000,0.000,30.000,0.421
22,22.000,0.500,20.100,0.422
23,23.000,1.000,21.200,0.423
24,24.000,1.500,22.300,0.424
25,25.000,2.000,23.400,0.425
26,26.000,2.500,24.000,0.426
27,27.000,3.000,25.100,0.427
28,28.000,0.000,26.200,0.428
29,29.000,0.500,27.300,0.429
30,30.000,1.000,28.400,0.430
31,31.000,1.500,29.000,0.431
32,32.000,2.000,30.100,0.432
33,33.000,2.500,20.200,0.433
34,34.000,3.000,21.300,0.434
35,35.000,0.000,22.400,0.435
36,36.000,0.500,23.000,0.436
37,37.000,1.000,24.100,0.437
38,38.000,1.500,25.200,0.438
39,39.000,2.000,26.300,0.439
40,40.000,2.500,27.400,0.440
41,41.000,3.000,28.000,0.441
42,42.000,0.000,29.100,0.442
43,43.000,0.500,30.200,0.443
44,44.000,1.000,20.300,0.444
45,45.000,1.500,21.400,0.445
46,46.000,2.000,22.000,0.446
47,47.000,2.500,23.100,0.447
48,48.000,3.000,24.200,0.448
49,49.000,0.000,25.300,0.449
50,50.000,0.500,26.400,0.450
1,1.000,0.500,21.000,0.451
