Benchmark::Car::uid,Benchmark::Car::lat,Benchmark::Car::lon,Benchmark::Car::speed,time
1,1.000,0.500,21.000,0.001
2,2.000,1.000,22.100,0.002
3,3.000,1.500,23.200,0.003
4,4.000,2.000,24.300,0.004
5,5.000,2.500,25.400,0.005
6,6.000,3.000,26.000,0.006
7,7.000,0.000,27.100,0.007
8,8.000,0.500,28.200,0.008
9,9.000,1.000,29.300,0.009
10,10.000,1.500,30.400,0.010
1,1.000,0.500,21.000,0.011
2,2.000,1.000,22.100,0.012
3,3.000,1.500,23.200,0.013
4,4.000,2.000,24.300,0.014
5,5.000,2.500,25.400,0.015
6,6.000,3.000,26.000,0.016
7,7.000,0.000,27.100,0.017
8,8.000,0.500,28.200,0.018
9,9.000,1.000,29.300,0.019
10,10.000,1.500,30.400,0.020
1,1.000,0.500,21.000,0.021
2,2.000,1.000,22.100,0.022
3,3.000,1.500,23.200,0.023
4,4.000,2.000,24.300,0.024
5,5.000,2.500,25.400,0.025
6,6.000,3.000,26.000,0.026
7,7.000,0.000,27.100,0.027
8,8.000,0.500,28.200,0.028
9,9.000,1.000,29.300,0.029
10,10.000,1.500,30.400,0.030
1,1.000,0.500,21.000,0.031
2,2.000,1.000,22.100,0.032
3,3.000,1.500,23.200,0.033
4,4.000,2.000,24.300,0.034
5,5.000,2.500,25.400,0.035
6,6.000,3.000,26.000,0.036
7,7.000,0.000,27.100,0.037
8,8.000,0.500,28.200,0.038
9,9.000,1.000,29.300,0.039
10,10.000,1.500,30.400,0.040
1,1.000,0.500,21.000,0.041
2,2.000,1.000,22.100,0.042
3,3.000,1.500,23.200,0.043
4,4.000,2.000,24.300,0.044
5,5.000,2.500,25.400,0.045
6,6.000,3.000,26.000,0.046
7,7.000,0.000,27.100,0.047
8,8.000,0.500,28.200,0.048
9,9.000,1.000,29.300,0.049
10,10.000,1.500,30.400,0.050
1,1.000,0.500,21.000,0.051
2,2.000,1.000,22.100,0.052
3,3.000,1.500,23.200,0.053
4,4.000,2.000,24.300,0.054
5,5.000,2.500,25.400,0.055
6,6.000,3.000,26.000,0.056
7,7.000,0.000,27.100,0.057
8,8.000,0.500,28.200,0.058
9,9.000,1.000,29.300,0.059
10,10.000,1.500,30.400,0.060
1,1.000,0.500,21.000,0.061
2,2.000,1.000,22.100,0.062
3,3.000,1.500,23.200,0.063
4,4.000,2.000,24.300,0.064
5,5.000,2.500,25.400,0.065
6,6.000,3.000,26.000,0.066
7,7.000,0.000,27.100,0.067
8,8.000,0.500,28.200,0.068
9,9.000,1.000,29.300,0.069
10,10.000,1.500,30.400,0.070
1,1.000,0.500,21.000,0.071
2,2.000,1.000,22.100,0.072
3,3.000,1.500,23.200,0.073
4,4.000,2.000,24.300,0.074
5,5.000,2.500,25.400,0.075
6,6.000,3.000,26.000,0.076
7,7.000,0.000,27.100,0.077
8,8.000,0.500,28.200,0.078
9,9.000,1.000,29.300,0.079
10,10.000,1.500,30.400,0.080
1,1.000,0.500,21.000,0.081
2,2.000,1.000,22.100,0.082
3,3.000,1.500,23.200,0.083
4,4.000,2.000,24.300,0.084
5,5.000,2.500,25.400,0.085
6,6.000,3.000,26.000,0.086
7,7.000,0.000,27.100,0.087
8,8.000,0.500,28.200,0.088
9,9.000,1.000,29.300,0.089
10,10.000,1.500,30.400,0.090
1,1.000,0.500,21.000,0.091
2,2.000,1.000,22.100,0.092
3,3.000,1.500,23.200,0.093
4,4.000,2.000,24.300,0.094
5,5.000,2.500,25.400,0.095
6,6.000,3.000,26.000,0.096
7,7.000,0.000,27.100,0.097
8,8.000,0.500,28.200,0.098
9,9.000,1.000,29.300,0.099
10,10.000,1.500,30.400,0.100
1,1.000,0.500,21.000,0.101
2,2.000,1.000,22.100,0.102
3,3.000,1.500,23.200,0.103
4,4.000,2.000,24.300,0.104
5,5.000,2.500,25.400,0.105
6,6.000,3.000,26.000,0.106
7,7.000,0.000,27.100,0.107
8,8.000,0.500,28.200,0.108
9,9.000,1.000,29.300,0.109
10,10.000,1.500,30.400,0.110
1,1.000,0.500,21.000,0.111
2,2.000,1.000,22.100,0.112
3,3.000,1.500,23.200,0.113
4,4.000,2.000,24.300,0.114
5,5.000,2.500,25.400,0.115
6,6.000,3.000,26.000,0.116
7,7.000,0.000,27.100,0.117
8,8.000,0.500,28.200,0.118
9,9.000,1.000,29.300,0.119
10,10.000,1.500,30.400,0.120
1,1.000,0.500,21.000,0.121
2,2.000,1.000,22.100,0.122
3,3.000,1.500,23.200,0.123
4,4.000,2.000,24.300,0.124
5,5.000,2.500,25.400,0.125
6,6.000,3.000,26.000,0.126
7,7.000,0.000,27.100,0.127
8,8.000,0.500,28.200,0.128
9,9.000,1.000,29.300,0.129
10,10.000,1.500,30.400,0.130
1,1.000,0.500,21.000,0.131
2,2.000,1.000,22.100,0.132
3,3.000,1.500,23.200,0.133
4,4.000,2.000,24.300,0.134
5,5.000,2.500,25.400,0.135
6,6.000,3.000,26.000,0.136
7,7.000,0.000,27.100,0.137
8,8.000,0.500,28.200,0.138
9,9.000,1.000,29.300,0.139
10,10.000,1.500,30.400,0.140
1,1.000,0.500,21.000,0.141
2,2.000,1.000,22.100,0.142
3,3.000,1.500,23.200,0.143
4,4.000,2.000,24.300,0.144
5,5.000,2.500,25.400,0.145
6,6.000,3.000,26.000,0.146
7,7.000,0.000,27.100,0.147
8,8.000,0.500,28.200,0.148
9,9.000,1.000,29.300,0.149
10,10.000,1.500,30.400,0.150
1,1.000,0.500,21.000,0.151
2,2.000,1.000,22.100,0.152
3,3.000,1.500,23.200,0.153
4,4.000,2.000,24.300,0.154
5,5.000,2.500,25.400,0.155
6,6.000,3.000,26.000,0.156
7,7.000,0.000,27.100,0.157
8,8.000,0.500,28.200,0.158
9,9.000,1.000,29.300,0.159
10,10.000,1.500,30.400,0.160
1,1.000,0.500,21.000,0.161
2,2.000,1.000,22.100,0.162
3,3.000,1.500,23.200,0.163
4,4.000,2.000,24.300,0.164
5,5.000,2.500,25.400,0.165
6,6.000,3.000,26.000,0.166
7,7.000,0.000,27.100,0.167
8,8.000,0.500,28.200,0.168
9,9.000,1.000,29.300,0.169
10,10.000,1.500,30.400,0.170
1,1.000,0.500,21.000,0.171
2,2.000,1.000,22.100,0.172
3,3.000,1.500,23.200,0.173
4,4.000,2.000,24.300,0.174
5,5.000,2.500,25.400,0.175
6,6.000,3.000,26.000,0.176
7,7.000,0.000,27.100,0.177
8,8.000,0.500,28.200,0.178
9,9.000,1.000,29.300,0.179
10,10.000,1.500,30.400,0.180
1,1.000,0.500,21.000,0.181
2,2.000,1.000,22.100,0.182
3,3.000,1.500,23.200,0.183
4,4.000,2.000,24.300,0.184
5,5.000,2.500,25.400,0.185
6,6.000,3.000,26.000,0.186
7,7.000,0.000,27.100,0.187
8,8.000,0.500,28.200,0.188
9,9.000,1.000,29.300,0.189
10,10.000,1.500,30.400,0.190
1,1.000,0.500,21.000,0.191
2,2.000,1.000,22.100,0.192
3,3.000,1.500,23.200,0.193
4,4.000,2.000,24.300,0.194
5,5.000,2.500,25.400,0.195
6,6.000,3.000,26.000,0.196
7,7.000,0.000,27.100,0.197
8,8.000,0.500,28.200,0.198
9,9.000,1.000,29.300,0.199
10,10.000,1.500,30.400,0.200
1,1.000,0.500,21.000,0.201
2,2.000,1.000,22.100,0.202
3,3.000,1.500,23.200,0.203
4,4.000,2.000,24.300,0.204
5,5.000,2.500,25.400,0.205
6,6.000,3.000,26.000,0.206
7,7.000,0.000,27.100,0.207
8,8.000,0.500,28.200,0.208
9,9.000,1.000,29.300,0.209
10,10.000,1.500,30.400,0.210
1,1.000,0.500,21.000,0.211
2,2.000,1.000,22.100,0.212
3,3.000,1.500,23.200,0.213
4,4.000,2.000,24.300,0.214
5,5.000,2.500,25.400,0.215
6,6.000,3.000,26.000,0.216
7,7.000,0.000,27.100,0.217
8,8.000,0.500,28.200,0.218
9,9.000,1.000,29.300,0.219
10,10.000,1.500,30.400,0.220
1,1.000,0.500,21.000,0.221
2,2.000,1.000,22.100,0.222
3,3.000,1.500,23.200,0.223
4,4.000,2.000,24.300,0.224
5,5.000,2.500,25.400,0.225
6,6.000,3.000,26.000,0.226
7,7.000,0.000,27.100,0.227
8,8.000,0.500,28.200,0.228
9,9.000,1.000,29.300,0.229
10,10.000,1.500,30.400,0.230
1,1.000,0.500,21.000,0.231
2,2.000,1.000,22.100,0.232
3,3.000,1.500,23.200,0.233
4,4.000,2.000,24.300,0.234
5,5.000,2.500,25.400,0.235
6,6.000,3.000,26.000,0.236
7,7.000,0.000,27.100,0.237
8,8.000,0.500,28.200,0.238
9,9.000,1.000,29.300,0.239
10,10.000,1.500,30.400,0.240
1,1.000,0.500,21.000,0.241
2,2.000,1.000,22.100,0.242
3,3.000,1.500,23.200,0.243
4,4.000,2.000,24.300,0.244
5,5.000,2.500,25.400,0.245
6,6.000,3.000,26.000,0.246
7,7.000,0.000,27.100,0.247
8,8.000,0.500,28.200,0.248
9,9.000,1.000,29.300,0.249
10,10.000,1.500,30.400,0.250
1,1.000,0.500,21.000,0.251
2,2.000,1.000,22.100,0.252
3,3.000,1.500,23.200,0.253
4,4.000,2.000,24.300,0.254
5,5.000,2.500,25.400,0.255
6,6.000,3.000,26.000,0.256
7,7.000,0.000,27.100,0.257
8,8.000,0.500,28.200,0.258
9,9.000,1.000,29.300,0.259
10,10.000,1.500,30.400,0.260
1,1.000,0.500,21.000,0.261
2,2.000,1.000,22.100,0.262
3,3.000,1.500,23.200,0.263
4,4.000,2.000,24.300,0.264
5,5.000,2.500,25.400,0.265
6,6.000,3.000,26.000,0.266
7,7.000,0.000,27.100,0.267
8,8.000,0.500,28.200,0.268
9,9.000,1.000,29.300,0.269
10,10.000,1.500,30.400,0.270
1,1.000,0.500,21.000,0.271
2,2.000,1.000,22.100,0.272
3,3.000,1.500,23.200,0.273
4,4.000,2.000,24.300,0.274
5,5.000,2.500,25.400,0.275
6,6.000,3.000,26.000,0.276
7,7.000,0.000,27.100,0.277
8,8.000,0.500,28.200,0.278
9,9.000,1.000,29.300,0.279
10,10.000,1.500,30.400,0.280
1,1.000,0.500,21.000,0.281
2,2.000,1.000,22.100,0.282
3,3.000,1.500,23.200,0.283
4,4.000,2.000,24.300,0.284
5,5.000,2.500,25.400,0.285
6,6.000,3.000,26.000,0.286
7,7.000,0.000,27.100,0.287
8,8.000,0.500,28.200,0.288
9,9.000,1.000,29.300,0.289
10,10.000,1.500,30.400,0.290
1,1.000,0.500,21.000,0.291
2,2.000,1.000,22.100,0.292
3,3.000,1.500,23.200,0.293
4,4.000,2.000,24.300,0.294
5,5.000,2.500,25.400,0.295
6,6.000,3.000,26.000,0.296
7,7.000,0.000,27.100,0.297
8,8.000,0.500,28.200,0.298
9,9.000,1.000,29.300,0.299
10,10.000,1.500,30.400,0.300
1,1.000,0.500,21.000,0.301
2,2.000,1.000,22.100,0.302
3,3.000,1.500,23.200,0.303
4,4.000,2.000,24.300,0.304
5,5.000,2.500,25.400,0.305
6,6.000,3.000,26.000,0.306
7,7.000,0.000,27.100,0.307
8,8.000,0.500,28.200,0.308
9,9.000,1.000,29.300,0.309
10,10.000,1.500,30.400,0.310
1,1.000,0.500,21.000,0.311
2,2.000,1.000,22.100,0.312
3,3.000,1.500,23.200,0.313
4,4.000,2.000,24.300,0.314
5,5.000,2.500,25.400,0.315
6,6.000,3.000,26.000,0.316
7,7.000,0.000,27.100,0.317
8,8.000,0.500,28.200,0.318
9,9.000,1.000,29.300,0.319
10,10.000,1.500,30.400,0.320
1,1.000,0.500,21.000,0.321
2,2.000,1.000,22.100,0.322
3,3.000,1.500,23.200,0.323
4,4.000,2.000,24.300,0.324
5,5.000,2.500,25.400,0.325
6,6.000,3.000,26.000,0.326
7,7.000,0.000,27.100,0.327
8,8.000,0.500,28.200,0.328
9,9.000,1.000,29.300,0.329
10,10.000,1.500,30.400,0.330
1,1.000,0.500,21.000,0.331
2,2.000,1.000,22.100,0.332
3,3.000,1.500,23.200,0.333
4,4.000,2.000,24.300,0.334
5,5.000,2.500,25.400,0.335
6,6.000,3.000,26.000,0.336
7,7.000,0.000,27.100,0.337
8,8.000,0.500,28.200,0.338
9,9.000,1.000,29.300,0.339
10,10.000,1.500,30.400,0.340
1,1.000,0.500,21.000,0.341
2,2.000,1.000,22.100,0.342
3,3.000,1.500,23.200,0.343
4,4.000,2.000,24.300,0.344
5,5.000,2.500,25.400,0.345
6,6.000,3.000,26.000,0.346
7,7.000,0.000,27.100,0.347
8,8.000,0.500,28.200,0.348
9,9.000,1.000,29.300,0.349
10,10.000,1.500,30.400,0.350
1,1.000,0.500,21.000,0.351
2,2.000,1.000,22.100,0.352
3,3.000,1.500,23.200,0.353
4,4.000,2.000,24.300,0.354
5,5.000,2.500,25.400,0.355
6,6.000,3.000,26.000,0.356
7,7.000,0.000,27.100,0.357
8,8.000,0.500,28.200,0.358
9,9.000,1.000,29.300,0.359
10,10.000,1.500,30.400,0.360
1,1.000,0.500,21.000,0.361
2,2.000,1.000,22.100,0.362
3,3.000,1.500,23.200,0.363
4,4.000,2.000,24.300,0.364
5,5.000,2.500,25.400,0.365
6,6.000,3.000,26.000,0.366
7,7.000,0.000,27.100,0.367
8,8.000,0.500,28.200,0.368
9,9.000,1.000,29.300,0.369
10,10.000,1.500,30.400,0.370
1,1.000,0.500,21.000,0.371
2,2.000,1.000,22.100,0.372
3,3.000,1.500,23.200,0.373
4,4.000,2.000,24.300,0.374
5,5.000,2.500,25.400,0.375
6,6.000,3.000,26.000,0.376
7,7.000,0.000,27.100,0.377
8,8.000,0.500,28.200,0.378
9,9.000,1.000,29.300,0.379
10,10.000,1.500,30.400,0.380
1,1.000,0.500,21.000,0.381
2,2.000,1.000,22.100,0.382
3,3.000,1.500,23.200,0.383
4,4.000,2.000,24.300,0.384
5,5.000,2.500,25.400,0.385
6,6.000,3.000,26.000,0.386
7,7.000,0.000,27.100,0.387
8,8.000,0.500,28.200,0.388
9,9.000,1.000,29.300,0.389
10,10.000,1.500,30.400,0.390
1,1.000,0.500,21.000,0.391
2,2.000,1.000,22.100,0.392
3,3.000,1.500,23.200,0.393
4,4.000,2.000,24.300,0.394
5,5.000,2.500,25.400,0.395
6,6.000,3.000,26.000,0.396
7,7.000,0.000,27.100,0.397
8,8.000,0.500,28.200,0.398
9,9.000,1.000,29.300,0.399
10,10.000,1.500,30.400,0.400
1,1.000,0.500,21.000,0.401
2,2.000,1.000,22.100,0.402
3,3.000,1.500,23.200,0.403
4,4.000,2.000,24.300,0.404
5,5.000,2.500,25.400,0.405
6,6.000,3.000,26.000,0.406
7,7.000,0.000,27.100,0.407
8,8.000,0.500,28.200,0.408
9,9.000,1.000,29.300,0.409
10,10.000,1.500,30.400,0.410
1,1.000,0.500,21.000,0.411
2,2.000,1.000,22.100,0.412
3,3.000,1.500,23.200,0.413
4,4.000,2.000,24.300,0.414
5,5.000,2.500,25.400,0.415
6,6.000,3.000,26.000,0.416
7,7.000,0.000,27.100,0.417
8,8.000,0.500,28.200,0.418
9,9.000,1.000,29.300,0.419
10,10.000,1.500,30.400,0.420
1,1.000,0.500,21.000,0.421
2,2.000,1.000,22.100,0.422
3,3.000,1.500,23.200,0.423
4,4.000,2.000,24.300,0.424
5,5.000,2.500,25.400,0.425
6,6.000,3.000,26.000,0.426
7,7.000,0.000,27.100,0.427
8,8.000,0.500,28.200,0.428
9,9.000,1.000,29.300,0.429
10,10.000,1.500,30.400,0.430
1,1.000,0.500,21.000,0.431
2,2.000,1.000,22.100,0.432
3,3.000,1.500,23.200,0.433
4,4.000,2.000,24.300,0.434
5,5.000,2.500,25.400,0.435
6,6.000,3.000,26.000,0.436
7,7.000,0.000,27.100,0.437
8,8.000,0.500,28.200,0.438
9,9.000,1.000,29.300,0.439
10,10.000,1.500,30.400,0.440
1,1.000,0.500,21.000,0.441
2,2.000,1.000,22.100,0.442
3,3.000,1.500,23.200,0.443
4,4.000,2.000,24.300,0.444
5,5.000,2.500,25.400,0.445
6,6.000,3.000,26.000,0.446
7,7.000,0.000,27.100,0.447
8,8.000,0.500,28.200,0.448
9,9.000,1.000,29.300,0.449
10,10.000,1.500,30.400,0.450
1,1.000,0.500,21.000,0.451
