Benchmark::Car::uid,Benchmark::Car::lat,Benchmark::Car::lon,Benchmark::Car::speed,time
1,1.000,0.500,21.000,0.001
2,2.000,1.000,22.100,0.002
3,3.000,1.500,23.200,0.003
4,4.000,2.000,24.300,0.004
5,5.000,2.500,25.400,0.005
6,6.000,3.000,26.000,0.006
7,7.000,0.000,27.100,0.007
8,8.000,0.500,28.200,0.008
9,9.000,1.000,29.300,0.009
10,10.000,1.500,30.400,0.010
11,11.000,2.000,20.000,0.011
12,12.000,2.500,21.100,0.012
13,13.000,3.000,22.200,0.013
14,14.000,0.000,23.300,0.014
15,15.000,0.500,24.400,0.015
16,16.000,1.000,25.000,0.016
17,17.000,1.500,26.100,0.017
18,18.000,2.000,27.200,0.018
19,19.000,2.500,28.300,0.019
20,20.000,3.000,29.400,0.020
21,21.000,0.000,30.000,0.021
22,22.000,0.500,20.100,0.022
23,23.000,1.000,21.200,0.023
24,24.000,1.500,22.300,0.024
25,25.000,2.000,23.400,0.025
26,26.000,2.500,24.000,0.026
27,27.000,3.000,25.100,0.027
28,28.000,0.000,26.200,0.028
29,29.000,0.500,27.300,0.029
30,30.000,1.000,28.400,0.030
31,31.000,1.500,29.000,0.031
32,32.000,2.000,30.100,0.032
33,33.000,2.500,20.200,0.033
34,34.000,3.000,21.300,0.034
35,35.000,0.000,22.400,0.035
36,36.000,0.500,23.000,0.036
37,37.000,1.000,24.100,0.037
38,38.000,1.500,25.200,0.038
39,39.000,2.000,26.300,0.039
40,40.000,2.500,27.400,0.040
1,1.000,0.500,21.000,0.041
2,2.000,1.000,22.100,0.042
3,3.000,1.500,23.200,0.043
4,4.000,2.000,24.300,0.044
5,5.000,2.500,25.400,0.045
6,6.000,3.000,26.000,0.046
7,7.000,0.000,27.100,0.047
8,8.000,0.500,28.200,0.048
9,9.000,1.000,29.300,0.049
10,10.000,1.500,30.400,0.050
11,11.000,2.000,20.000,0.051
12,12.000,2.500,21.100,0.052
13,13.000,3.000,22.200,0.053
14,14.000,0.000,23.300,0.054
15,15.000,0.500,24.400,0.055
16,16.000,1.000,25.000,0.056
17,17.000,1.500,26.100,0.057
18,18.000,2.000,27.200,0.058
19,19.000,2.500,28.300,0.059
20,20.000,3.000,29.400,0.060
21,21.000,0.000,30.000,0.061
22,22.000,0.500,20.100,0.062
23,23.000,1.000,21.200,0.063
24,24.000,1.500,22.300,0.064
25,25.000,2.000,23.400,0.065
26,26.000,2.500,24.000,0.066
27,27.000,3.000,25.100,0.067
28,28.000,0.000,26.200,0.068
29,29.000,0.500,27.300,0.069
30,30.000,1.000,28.400,0.070
31,31.000,1.500,29.000,0.071
32,32.000,2.000,30.100,0.072
33,33.000,2.500,20.200,0.073
34,34.000,3.000,21.300,0.074
35,35.000,0.000,22.400,0.075
36,36.000,0.500,23.000,0.076
37,37.000,1.000,24.100,0.077
38,38.000,1.500,25.200,0.078
39,39.000,2.000,26.300,0.079
40,40.000,2.500,27.400,0.080
1,1.000,0.500,21.000,0.081
2,2.000,1.000,22.100,0.082
3,3.000,1.500,23.200,0.083
4,4.000,2.000,24.300,0.084
5,5.000,2.500,25.400,0.085
6,6.000,3.000,26.000,0.086
7,7.000,0.000,27.100,0.087
8,8.000,0.500,28.200,0.088
9,9.000,1.000,29.300,0.089
10,10.000,1.500,30.400,0.090
11,11.000,2.000,20.000,0.091
12,12.000,2.500,21.100,0.092
13,13.000,3.000,22.200,0.093
14,14.000,0.000,23.300,0.094
15,15.000,0.500,24.400,0.095
16,16.000,1.000,25.000,0.096
17,17.000,1.500,26.100,0.097
18,18.000,2.000,27.200,0.098
19,19.000,2.500,28.300,0.099
20,20.000,3.000,29.400,0.100
21,21.000,0.000,30.000,0.101
22,22.000,0.500,20.100,0.102
23,23.000,1.000,21.200,0.103
24,24.000,1.500,22.300,0.104
25,25.000,2.000,23.400,0.105
26,26.000,2.500,24.000,0.106
27,27.000,3.000,25.100,0.107
28,28.000,0.000,26.200,0.108
29,29.000,0.500,27.300,0.109
30,30.000,1.000,28.400,0.110
31,31.000,1.500,29.000,0.111
32,32.000,2.000,30.100,0.112
33,33.000,2.500,20.200,0.113
34,34.000,3.000,21.300,0.114
35,35.000,0.000,22.400,0.115
36,36.000,0.500,23.000,0.116
37,37.000,1.000,24.100,0.117
38,38.000,1.500,25.200,0.118
39,39.000,2.000,26.300,0.119
40,40.000,2.500,27.400,0.120
1,1.000,0.500,21.000,0.121
2,2.000,1.000,22.100,0.122
3,3.000,1.500,23.200,0.123
4,4.000,2.000,24.300,0.124
5,5.000,2.500,25.400,0.125
6,6.000,3.000,26.000,0.126
7,7.000,0.000,27.100,0.127
8,8.000,0.500,28.200,0.128
9,9.000,1.000,29.300,0.129
10,10.000,1.500,30.400,0.130
11,11.000,2.000,20.000,0.131
12,12.000,2.500,21.100,0.132
13,13.000,3.000,22.200,0.133
14,14.000,0.000,23.300,0.134
15,15.000,0.500,24.400,0.135
16,16.000,1.000,25.000,0.136
17,17.000,1.500,26.100,0.137
18,18.000,2.000,27.200,0.138
19,19.000,2.500,28.300,0.139
20,20.000,3.000,29.400,0.140
21,21.000,0.000,30.000,0.141
22,22.000,0.500,20.100,0.142
23,23.000,1.000,21.200,0.143
24,24.000,1.500,22.300,0.144
25,25.000,2.000,23.400,0.145
26,26.000,2.500,24.000,0.146
27,27.000,3.000,25.100,0.147
28,28.000,0.000,26.200,0.148
29,29.000,0.500,27.300,0.149
30,30.000,1.000,28.400,0.150
31,31.000,1.500,29.000,0.151
32,32.000,2.000,30.100,0.152
33,33.000,2.500,20.200,0.153
34,34.000,3.000,21.300,0.154
35,35.000,0.000,22.400,0.155
36,36.000,0.500,23.000,0.156
37,37.000,1.000,24.100,0.157
38,38.000,1.500,25.200,0.158
39,39.000,2.000,26.300,0.159
40,40.000,2.500,27.400,0.160
1,1.000,0.500,21.000,0.161
2,2.000,1.000,22.100,0.162
3,3.000,1.500,23.200,0.163
4,4.000,2.000,24.300,0.164
5,5.000,2.500,25.400,0.165
6,6.000,3.000,26.000,0.166
7,7.000,0.000,27.100,0.167
8,8.000,0.500,28.200,0.168
9,9.000,1.000,29.300,0.169
10,10.000,1.500,30.400,0.170
11,11.000,2.000,20.000,0.171
12,12.000,2.500,21.100,0.172
13,13.000,3.000,22.200,0.173
14,14.000,0.000,23.300,0.174
15,15.000,0.500,24.400,0.175
16,16.000,1.000,25.000,0.176
17,17.000,1.500,26.100,0.177
18,18.000,2.000,27.200,0.178
19,19.000,2.500,28.300,0.179
20,20.000,3.000,29.400,0.180
21,21.000,0.000,30.000,0.181
22,22.000,0.500,20.100,0.182
23,23.000,1.000,21.200,0.183
24,24.000,1.500,22.300,0.184
25,25.000,2.000,23.400,0.185
26,26.000,2.500,24.000,0.186
27,27.000,3.000,25.100,0.187
28,28.000,0.000,26.200,0.188
29,29.000,0.500,27.300,0.189
30,30.000,1.000,28.400,0.190
31,31.000,1.500,29.000,0.191
32,32.000,2.000,30.100,0.192
33,33.000,2.500,20.200,0.193
34,34.000,3.000,21.300,0.194
35,35.000,0.000,22.400,0.195
36,36.000,0.500,23.000,0.196
37,37.000,1.000,24.100,0.197
38,38.000,1.500,25.200,0.198
39,39.000,2.000,26.300,0.199
40,40.000,2.500,27.400,0.200
1,1.000,0.500,21.000,0.201
2,2.000,1.000,22.100,0.202
3,3.000,1.500,23.200,0.203
4,4.000,2.000,24.300,0.204
5,5.000,2.500,25.400,0.205
6,6.000,3.000,26.000,0.206
7,7.000,0.000,27.100,0.207
8,8.000,0.500,28.200,0.208
9,9.000,1.000,29.300,0.209
10,10.000,1.500,30.400,0.210
11,11.000,2.000,20.000,0.211
12,12.000,2.500,21.100,0.212
13,13.000,3.000,22.200,0.213
14,14.000,0.000,23.300,0.214
15,15.000,0.500,24.400,0.215
16,16.000,1.000,25.000,0.216
17,17.000,1.500,26.100,0.217
18,18.000,2.000,27.200,0.218
19,19.000,2.500,28.300,0.219
20,20.000,3.000,29.400,0.220
21,21.000,0.000,30.000,0.221
22,22.000,0.500,20.100,0.222
23,23.000,1.000,21.200,0.223
24,24.000,1.500,22.300,0.224
25,25.000,2.000,23.400,0.225
26,26.000,2.500,24.000,0.226
27,27.000,3.000,25.100,0.227
28,28.000,0.000,26.200,0.228
29,29.000,0.500,27.300,0.229
30,30.000,1.000,28.400,0.230
31,31.000,1.500,29.000,0.231
32,32.000,2.000,30.100,0.232
33,33.000,2.500,20.200,0.233
34,34.000,3.000,21.300,0.234
35,35.000,0.000,22.400,0.235
36,36.000,0.500,23.000,0.236
37,37.000,1.000,24.100,0.237
38,38.000,1.500,25.200,0.238
39,39.000,2.000,26.300,0.239
40,40.000,2.500,27.400,0.240
