Benchmark::Car::uid,Benchmark::Car::lat,Benchmark::Car::lon,Benchmark::Car::speed,time
1,1.000,0.500,21.000,0.001
2,2.000,1.000,22.100,0.002
3,3.000,1.500,23.200,0.003
4,4.000,2.000,24.300,0.004
5,5.000,2.500,25.400,0.005
1,1.000,0.500,21.000,0.006
2,2.000,1.000,22.100,0.007
3,3.000,1.500,23.200,0.008
4,4.000,2.000,24.300,0.009
5,5.000,2.500,25.400,0.010
1,1.000,0.500,21.000,0.011
2,2.000,1.000,22.100,0.012
3,3.000,1.500,23.200,0.013
4,4.000,2.000,24.300,0.014
5,5.000,2.500,25.400,0.015
1,1.000,0.500,21.000,0.016
2,2.000,1.000,22.100,0.017
3,3.000,1.500,23.200,0.018
4,4.000,2.000,24.300,0.019
5,5.000,2.500,25.400,0.020
1,1.000,0.500,21.000,0.021
2,2.000,1.000,22.100,0.022
3,3.000,1.500,23.200,0.023
4,4.000,2.000,24.300,0.024
5,5.000,2.500,25.400,0.025
1,1.000,0.500,21.000,0.026
2,2.000,1.000,22.100,0.027
3,3.000,1.500,23.200,0.028
4,4.000,2.000,24.300,0.029
5,5.000,2.500,25.400,0.030
1,1.000,0.500,21.000,0.031
2,2.000,1.000,22.100,0.032
3,3.000,1.500,23.200,0.033
4,4.000,2.000,24.300,0.034
5,5.000,2.500,25.400,0.035
1,1.000,0.500,21.000,0.036
2,2.000,1.000,22.100,0.037
3,3.000,1.500,23.200,0.038
4,4.000,2.000,24.300,0.039
5,5.000,2.500,25.400,0.040
1,1.000,0.500,21.000,0.041
2,2.000,1.000,22.100,0.042
3,3.000,1.500,23.200,0.043
4,4.000,2.000,24.300,0.044
5,5.000,2.500,25.400,0.045
1,1.000,0.500,21.000,0.046
2,2.000,1.000,22.100,0.047
3,3.000,1.500,23.200,0.048
4,4.000,2.000,24.300,0.049
5,5.000,2.500,25.400,0.050
1,1.000,0.500,21.000,0.051
2,2.000,1.000,22.100,0.052
3,3.000,1.500,23.200,0.053
4,4.000,2.000,24.300,0.054
5,5.000,2.500,25.400,0.055
1,1.000,0.500,21.000,0.056
2,2.000,1.000,22.100,0.057
3,3.000,1.500,23.200,0.058
4,4.000,2.000,24.300,0.059
5,5.000,2.500,25.400,0.060
1,1.000,0.500,21.000,0.061
2,2.000,1.000,22.100,0.062
3,3.000,1.500,23.200,0.063
4,4.000,2.000,24.300,0.064
5,5.000,2.500,25.400,0.065
1,1.000,0.500,21.000,0.066
2,2.000,1.000,22.100,0.067
3,3.000,1.500,23.200,0.068
4,4.000,2.000,24.300,0.069
5,5.000,2.500,25.400,0.070
1,1.000,0.500,21.000,0.071
2,2.000,1.000,22.100,0.072
3,3.000,1.500,23.200,0.073
4,4.000,2.000,24.300,0.074
5,5.000,2.500,25.400,0.075
1,1.000,0.500,21.000,0.076
2,2.000,1.000,22.100,0.077
3,3.000,1.500,23.200,0.078
4,4.000,2.000,24.300,0.079
5,5.000,2.500,25.400,0.080
1,1.000,0.500,21.000,0.081
2,2.000,1.000,22.100,0.082
3,3.000,1.500,23.200,0.083
4,4.000,2.000,24.300,0.084
5,5.000,2.500,25.400,0.085
1,1.000,0.500,21.000,0.086
2,2.000,1.000,22.100,0.087
3,3.000,1.500,23.200,0.088
4,4.000,2.000,24.300,0.089
5,5.000,2.500,25.400,0.090
1,1.000,0.500,21.000,0.091
2,2.000,1.000,22.100,0.092
3,3.000,1.500,23.200,0.093
4,4.000,2.000,24.300,0.094
5,5.000,2.500,25.400,0.095
1,1.000,0.500,21.000,0.096
2,2.000,1.000,22.100,0.097
3,3.000,1.500,23.200,0.098
4,4.000,2.000,24.300,0.099
5,5.000,2.500,25.400,0.100
1,1.000,0.500,21.000,0.101
2,2.000,1.000,22.100,0.102
3,3.000,1.500,23.200,0.103
4,4.000,2.000,24.300,0.104
5,5.000,2.500,25.400,0.105
1,1.000,0.500,21.000,0.106
2,2.000,1.000,22.100,0.107
3,3.000,1.500,23.200,0.108
4,4.000,2.000,24.300,0.109
5,5.000,2.500,25.400,0.110
1,1.000,0.500,21.000,0.111
2,2.000,1.000,22.100,0.112
3,3.000,1.500,23.200,0.113
4,4.000,2.000,24.300,0.114
5,5.000,2.500,25.400,0.115
1,1.000,0.500,21.000,0.116
2,2.000,1.000,22.100,0.117
3,3.000,1.500,23.200,0.118
4,4.000,2.000,24.300,0.119
5,5.000,2.500,25.400,0.120
1,1.000,0.500,21.000,0.121
2,2.000,1.000,22.100,0.122
3,3.000,1.500,23.200,0.123
4,4.000,2.000,24.300,0.124
5,5.000,2.500,25.400,0.125
1,1.000,0.500,21.000,0.126
2,2.000,1.000,22.100,0.127
3,3.000,1.500,23.200,0.128
4,4.000,2.000,24.300,0.129
5,5.000,2.500,25.400,0.130
1,1.000,0.500,21.000,0.131
2,2.000,1.000,22.100,0.132
3,3.000,1.500,23.200,0.133
4,4.000,2.000,24.300,0.134
5,5.000,2.500,25.400,0.135
1,1.000,0.500,21.000,0.136
2,2.000,1.000,22.100,0.137
3,3.000,1.500,23.200,0.138
4,4.000,2.000,24.300,0.139
5,5.000,2.500,25.400,0.140
1,1.000,0.500,21.000,0.141
2,2.000,1.000,22.100,0.142
3,3.000,1.500,23.200,0.143
4,4.000,2.000,24.300,0.144
5,5.000,2.500,25.400,0.145
1,1.000,0.500,21.000,0.146
2,2.000,1.000,22.100,0.147
3,3.000,1.500,23.200,0.148
4,4.000,2.000,24.300,0.149
5,5.000,2.500,25.400,0.150
1,1.000,0.500,21.000,0.151
2,2.000,1.000,22.100,0.152
3,3.000,1.500,23.200,0.153
4,4.000,2.000,24.300,0.154
5,5.000,2.500,25.400,0.155
1,1.000,0.500,21.000,0.156
2,2.000,1.000,22.100,0.157
3,3.000,1.500,23.200,0.158
4,4.000,2.000,24.300,0.159
5,5.000,2.500,25.400,0.160
1,1.000,0.500,21.000,0.161
2,2.000,1.000,22.100,0.162
3,3.000,1.500,23.200,0.163
4,4.000,2.000,24.300,0.164
5,5.000,2.500,25.400,0.165
1,1.000,0.500,21.000,0.166
2,2.000,1.000,22.100,0.167
3,3.000,1.500,23.200,0.168
4,4.000,2.000,24.300,0.169
5,5.000,2.500,25.400,0.170
1,1.000,0.500,21.000,0.171
2,2.000,1.000,22.100,0.172
3,3.000,1.500,23.200,0.173
4,4.000,2.000,24.300,0.174
5,5.000,2.500,25.400,0.175
1,1.000,0.500,21.000,0.176
2,2.000,1.000,22.100,0.177
3,3.000,1.500,23.200,0.178
4,4.000,2.000,24.300,0.179
5,5.000,2.500,25.400,0.180
1,1.000,0.500,21.000,0.181
2,2.000,1.000,22.100,0.182
3,3.000,1.500,23.200,0.183
4,4.000,2.000,24.300,0.184
5,5.000,2.500,25.400,0.185
1,1.000,0.500,21.000,0.186
2,2.000,1.000,22.100,0.187
3,3.000,1.500,23.200,0.188
4,4.000,2.000,24.300,0.189
5,5.000,2.500,25.400,0.190
1,1.000,0.500,21.000,0.191
2,2.000,1.000,22.100,0.192
3,3.000,1.500,23.200,0.193
4,4.000,2.000,24.300,0.194
5,5.000,2.500,25.400,0.195
1,1.000,0.500,21.000,0.196
2,2.000,1.000,22.100,0.197
3,3.000,1.500,23.200,0.198
4,4.000,2.000,24.300,0.199
5,5.000,2.500,25.400,0.200
