Benchmark::Car::uid,Benchmark::Car::lat,Benchmark::Car::lon,Benchmark::Car::speed,time
1,1.000,0.500,21.000,0.000000
3,3.004,1.513,23.190,0.000800
1,1.008,0.526,21.380,0.001600
3,3.012,1.539,23.570,0.002400
1,1.016,0.552,21.760,0.003200
3,3.020,1.565,23.950,0.004000
1,1.024,0.578,22.140,0.004800
3,3.028,1.591,24.330,0.005600
1,1.000,0.604,22.120,0.035400
3,3.004,1.617,24.310,0.036200
1,1.008,0.630,22.500,0.037000
3,3.012,1.500,24.690,0.037800
1,1.016,0.513,22.880,0.038600
3,3.020,1.526,23.250,0.039400
1,1.024,0.539,21.440,0.040200
3,3.028,1.552,23.630,0.041000
1,1.000,0.565,21.420,0.070800
3,3.004,1.578,23.610,0.071600
1,1.008,0.591,21.800,0.072400
3,3.012,1.604,23.990,0.073200
1,1.016,0.617,22.180,0.074000
3,3.020,1.630,24.370,0.074800
1,1.024,0.500,22.560,0.075600
3,3.028,1.513,24.750,0.076400
1,1.000,0.526,22.540,0.106200
3,3.004,1.539,24.730,0.107000
1,1.008,0.552,21.100,0.107800
3,3.012,1.565,23.290,0.108600
1,1.016,0.578,21.480,0.109400
3,3.020,1.591,23.670,0.110200
1,1.024,0.604,21.860,0.111000
3,3.028,1.617,24.050,0.111800
1,1.000,0.630,21.840,0.141600
3,3.004,1.500,24.030,0.142400
1,1.008,0.513,22.220,0.143200
3,3.012,1.526,24.410,0.144000
1,1.016,0.539,22.600,0.144800
3,3.020,1.552,24.790,0.145600
1,1.024,0.565,22.980,0.146400
3,3.028,1.578,23.350,0.147200
1,1.000,0.591,21.140,0.177000
3,3.004,1.604,23.330,0.177800
1,1.008,0.617,21.520,0.178600
3,3.012,1.630,23.710,0.179400
1,1.016,0.500,21.900,0.180200
3,3.020,1.513,24.090,0.181000
1,1.024,0.526,22.280,0.181800
3,3.028,1.539,24.470,0.182600
1,1.000,0.552,22.260,0.212400
3,3.004,1.565,24.450,0.213200
1,1.008,0.578,22.640,0.214000
3,3.012,1.591,24.830,0.214800
1,1.016,0.604,21.200,0.215600
3,3.020,1.617,23.390,0.216400
1,1.024,0.630,21.580,0.217200
3,3.028,1.500,23.770,0.218000
1,1.000,0.513,21.560,0.247800
3,3.004,1.526,23.750,0.248600
1,1.008,0.539,21.940,0.249400
3,3.012,1.552,24.130,0.250200
1,1.016,0.565,22.320,0.251000
3,3.020,1.578,24.510,0.251800
1,1.024,0.591,22.700,0.252600
3,3.028,1.604,24.890,0.253400
1,1.000,0.617,22.680,0.283200
3,3.004,1.630,23.050,0.284000
1,1.008,0.500,21.240,0.284800
3,3.012,1.513,23.430,0.285600
1,1.016,0.526,21.620,0.286400
3,3.020,1.539,23.810,0.287200
1,1.024,0.552,22.000,0.288000
3,3.028,1.565,24.190,0.288800
1,1.000,0.578,21.980,0.318600
3,3.004,1.591,24.170,0.319400
1,1.008,0.604,22.360,0.320200
3,3.012,1.617,24.550,0.321000
1,1.016,0.630,22.740,0.321800
3,3.020,1.500,24.930,0.322600
1,1.024,0.513,21.300,0.323400
3,3.028,1.526,23.490,0.324200
1,1.000,0.539,21.280,0.354000
3,3.004,1.552,23.470,0.354800
1,1.008,0.565,21.660,0.355600
3,3.012,1.578,23.850,0.356400
1,1.016,0.591,22.040,0.357200
3,3.020,1.604,24.230,0.358000
1,1.024,0.617,22.420,0.358800
3,3.028,1.630,24.610,0.359600
1,1.000,0.500,22.400,0.389400
3,3.004,1.513,24.590,0.390200
1,1.008,0.526,22.780,0.391000
3,3.012,1.539,23.150,0.391800
1,1.016,0.552,21.340,0.392600
3,3.020,1.565,23.530,0.393400
1,1.024,0.578,21.720,0.394200
3,3.028,1.591,23.910,0.395000
5,5.021,2.500,25.000,0.424800
7,7.025,0.013,27.190,0.425600
5,5.029,2.526,25.380,0.426400
7,7.033,0.039,27.570,0.427200
5,5.037,2.552,25.760,0.428000
7,7.041,0.065,27.950,0.428800
5,5.045,2.578,26.140,0.429600
7,7.049,0.091,28.330,0.430400
5,5.021,2.604,26.120,0.460200
7,7.025,0.117,28.310,0.461000
5,5.029,2.630,26.500,0.461800
7,7.033,0.000,28.690,0.462600
5,5.037,2.513,26.880,0.463400
7,7.041,0.026,27.250,0.464200
5,5.045,2.539,25.440,0.465000
7,7.049,0.052,27.630,0.465800
5,5.021,2.565,25.420,0.495600
7,7.025,0.078,27.610,0.496400
5,5.029,2.591,25.800,0.497200
7,7.033,0.104,27.990,0.498000
5,5.037,2.617,26.180,0.498800
7,7.041,0.130,28.370,0.499600
5,5.045,2.500,26.560,0.500400
7,7.049,0.013,28.750,0.501200
5,5.021,2.526,26.540,0.531000
7,7.025,0.039,28.730,0.531800
