Benchmark::Car::uid,Benchmark::Car::lat,Benchmark::Car::lon,Benchmark::Car::speed,time
1,1.000,0.500,21.000,0.001
2,2.000,1.000,22.100,0.002
3,3.000,1.500,23.200,0.003
4,4.000,2.000,24.300,0.004
5,5.000,2.500,25.400,0.005
1,1.000,0.500,21.000,0.006
2,2.000,1.000,22.100,0.007
3,3.000,1.500,23.200,0.008
4,4.000,2.000,24.300,0.009
5,5.000,2.500,25.400,0.010
1,1.000,0.500,21.000,0.011
2,2.000,1.000,22.100,0.012
3,3.000,1.500,23.200,0.013
4,4.000,2.000,24.300,0.014
5,5.000,2.500,25.400,0.015
1,1.000,0.500,21.000,0.016
2,2.000,1.000,22.100,0.017
3,3.000,1.500,23.200,0.018
4,4.000,2.000,24.300,0.019
5,5.000,2.500,25.400,0.020
1,1.000,0.500,21.000,0.021
2,2.000,1.000,22.100,0.022
3,3.000,1.500,23.200,0.023
4,4.000,2.000,24.300,0.024
5,5.000,2.500,25.400,0.025
1,1.000,0.500,21.000,0.026
2,2.000,1.000,22.100,0.027
3,3.000,1.500,23.200,0.028
4,4.000,2.000,24.300,0.029
5,5.000,2.500,25.400,0.030
1,1.000,0.500,21.000,0.031
2,2.000,1.000,22.100,0.032
3,3.000,1.500,23.200,0.033
4,4.000,2.000,24.300,0.034
5,5.000,2.500,25.400,0.035
1,1.000,0.500,21.000,0.036
2,2.000,1.000,22.100,0.037
3,3.000,1.500,23.200,0.038
4,4.000,2.000,24.300,0.039
5,5.000,2.500,25.400,0.040
1,1.000,0.500,21.000,0.041
2,2.000,1.000,22.100,0.042
3,3.000,1.500,23.200,0.043
4,4.000,2.000,24.300,0.044
5,5.000,2.500,25.400,0.045
1,1.000,0.500,21.000,0.046
2,2.000,1.000,22.100,0.047
3,3.000,1.500,23.200,0.048
4,4.000,2.000,24.300,0.049
5,5.000,2.500,25.400,0.050
