Benchmark::Car::uid,Benchmark::Car::lat,Benchmark::Car::lon,Benchmark::Car::speed,time
1,1.000,0.500,21.000,0.000000
2,2.000,1.013,22.140,0.000800
3,3.000,1.526,23.280,0.001600
4,4.000,2.039,24.420,0.002400
5,5.000,2.552,25.560,0.003200
6,6.000,3.065,26.700,0.004000
7,7.000,0.078,27.840,0.004800
8,8.000,0.591,28.980,0.005600
1,1.000,0.604,22.120,0.006400
2,2.000,1.117,23.260,0.007200
3,3.000,1.630,24.400,0.008000
4,4.000,2.000,25.540,0.008800
5,5.000,2.513,26.680,0.009600
6,6.000,3.026,26.000,0.010400
7,7.000,0.039,27.140,0.011200
8,8.000,0.552,28.280,0.012000
1,1.000,0.565,21.420,0.012800
2,2.000,1.078,22.560,0.013600
3,3.000,1.591,23.700,0.014400
4,4.000,2.104,24.840,0.015200
5,5.000,2.617,25.980,0.016000
6,6.000,3.130,27.120,0.016800
7,7.000,0.000,28.260,0.017600
8,8.000,0.513,29.400,0.018400
1,1.000,0.526,22.540,0.019200
2,2.000,1.039,23.680,0.020000
3,3.000,1.552,23.000,0.020800
4,4.000,2.065,24.140,0.021600
5,5.000,2.578,25.280,0.022400
6,6.000,3.091,26.420,0.023200
7,7.000,0.104,27.560,0.024000
8,8.000,0.617,28.700,0.024800
1,1.000,0.630,21.840,0.025600
2,2.000,1.000,22.980,0.026400
3,3.000,1.513,24.120,0.027200
4,4.000,2.026,25.260,0.028000
5,5.000,2.539,26.400,0.028800
6,6.000,3.052,27.540,0.029600
7,7.000,0.065,28.680,0.030400
8,8.000,0.578,28.000,0.031200
1,1.000,0.591,21.140,0.032000
2,2.000,1.104,22.280,0.032800
3,3.000,1.617,23.420,0.033600
4,4.000,2.130,24.560,0.034400
5,5.000,2.500,25.700,0.035200
6,6.000,3.013,26.840,0.036000
7,7.000,0.026,27.980,0.036800
8,8.000,0.539,29.120,0.037600
1,1.000,0.552,22.260,0.038400
2,2.000,1.065,23.400,0.039200
3,3.000,1.578,24.540,0.040000
4,4.000,2.091,25.680,0.040800
5,5.000,2.604,25.000,0.041600
6,6.000,3.117,26.140,0.042400
7,7.000,0.130,27.280,0.043200
8,8.000,0.500,28.420,0.044000
1,1.000,0.513,21.560,0.044800
2,2.000,1.026,22.700,0.045600
3,3.000,1.539,23.840,0.046400
4,4.000,2.052,24.980,0.047200
5,5.000,2.565,26.120,0.048000
6,6.000,3.078,27.260,0.048800
7,7.000,0.091,28.400,0.049600
8,8.000,0.604,29.540,0.050400
1,1.000,0.617,22.680,0.051200
2,2.000,1.130,22.000,0.052000
3,3.000,1.500,23.140,0.052800
4,4.000,2.013,24.280,0.053600
5,5.000,2.526,25.420,0.054400
6,6.000,3.039,26.560,0.055200
7,7.000,0.052,27.700,0.056000
8,8.000,0.565,28.840,0.056800
1,1.000,0.578,21.980,0.057600
2,2.000,1.091,23.120,0.058400
3,3.000,1.604,24.260,0.059200
4,4.000,2.117,25.400,0.060000
5,5.000,2.630,26.540,0.060800
6,6.000,3.000,27.680,0.061600
7,7.000,0.013,27.000,0.062400
8,8.000,0.526,28.140,0.063200
1,1.000,0.539,21.280,0.064000
2,2.000,1.052,22.420,0.064800
3,3.000,1.565,23.560,0.065600
4,4.000,2.078,24.700,0.066400
5,5.000,2.591,25.840,0.067200
6,6.000,3.104,26.980,0.068000
7,7.000,0.117,28.120,0.068800
8,8.000,0.630,29.260,0.069600
1,1.000,0.500,22.400,0.070400
2,2.000,1.013,23.540,0.071200
3,3.000,1.526,24.680,0.072000
4,4.000,2.039,24.000,0.072800
5,5.000,2.552,25.140,0.073600
6,6.000,3.065,26.280,0.074400
7,7.000,0.078,27.420,0.075200
8,8.000,0.591,28.560,0.076000
9,9.021,1.000,29.000,0.076800
10,10.021,1.513,30.140,0.077600
11,11.021,2.026,20.280,0.078400
12,12.021,2.539,21.420,0.079200
13,13.021,3.052,22.560,0.080000
14,14.021,0.065,23.700,0.080800
15,15.021,0.578,24.840,0.081600
16,16.021,1.091,25.980,0.082400
9,9.021,1.104,30.120,0.083200
10,10.021,1.617,31.260,0.084000
11,11.021,2.130,21.400,0.084800
12,12.021,2.500,22.540,0.085600
13,13.021,3.013,23.680,0.086400
14,14.021,0.026,23.000,0.087200
15,15.021,0.539,24.140,0.088000
16,16.021,1.052,25.280,0.088800
9,9.021,1.065,29.420,0.089600
10,10.021,1.578,30.560,0.090400
11,11.021,2.091,20.700,0.091200
12,12.021,2.604,21.840,0.092000
13,13.021,3.117,22.980,0.092800
14,14.021,0.130,24.120,0.093600
15,15.021,0.500,25.260,0.094400
16,16.021,1.013,26.400,0.095200
9,9.021,1.026,30.540,0.096000
10,10.021,1.539,31.680,0.096800
11,11.021,2.052,20.000,0.097600
12,12.021,2.565,21.140,0.098400
13,13.021,3.078,22.280,0.099200
14,14.021,0.091,23.420,0.100000
15,15.021,0.604,24.560,0.100800
16,16.021,1.117,25.700,0.101600
9,9.021,1.130,29.840,0.102400
10,10.021,1.500,30.980,0.103200
11,11.021,2.013,21.120,0.104000
12,12.021,2.526,22.260,0.104800
13,13.021,3.039,23.400,0.105600
14,14.021,0.052,24.540,0.106400
15,15.021,0.565,25.680,0.107200
16,16.021,1.078,25.000,0.108000
9,9.021,1.091,29.140,0.108800
10,10.021,1.604,30.280,0.109600
11,11.021,2.117,20.420,0.110400
12,12.021,2.630,21.560,0.111200
13,13.021,3.000,22.700,0.112000
14,14.021,0.013,23.840,0.112800
15,15.021,0.526,24.980,0.113600
16,16.021,1.039,26.120,0.114400
9,9.021,1.052,30.260,0.115200
10,10.021,1.565,31.400,0.116000
11,11.021,2.078,21.540,0.116800
12,12.021,2.591,22.680,0.117600
13,13.021,3.104,22.000,0.118400
14,14.021,0.117,23.140,0.119200
15,15.021,0.630,24.280,0.120000
16,16.021,1.000,25.420,0.120800
9,9.021,1.013,29.560,0.121600
10,10.021,1.526,30.700,0.122400
11,11.021,2.039,20.840,0.123200
12,12.021,2.552,21.980,0.124000
13,13.021,3.065,23.120,0.124800
14,14.021,0.078,24.260,0.125600
15,15.021,0.591,25.400,0.126400
16,16.021,1.104,26.540,0.127200
9,9.021,1.117,30.680,0.128000
10,10.021,1.630,30.000,0.128800
11,11.021,2.000,20.140,0.129600
12,12.021,2.513,21.280,0.130400
13,13.021,3.026,22.420,0.131200
14,14.021,0.039,23.560,0.132000
15,15.021,0.552,24.700,0.132800
16,16.021,1.065,25.840,0.133600
9,9.021,1.078,29.980,0.134400
10,10.021,1.591,31.120,0.135200
11,11.021,2.104,21.260,0.136000
12,12.021,2.617,22.400,0.136800
13,13.021,3.130,23.540,0.137600
14,14.021,0.000,24.680,0.138400
15,15.021,0.513,24.000,0.139200
16,16.021,1.026,25.140,0.140000
9,9.021,1.039,29.280,0.140800
10,10.021,1.552,30.420,0.141600
11,11.021,2.065,20.560,0.142400
12,12.021,2.578,21.700,0.143200
13,13.021,3.091,22.840,0.144000
14,14.021,0.104,23.980,0.144800
15,15.021,0.617,25.120,0.145600
16,16.021,1.130,26.260,0.146400
9,9.021,1.000,30.400,0.147200
10,10.021,1.513,31.540,0.148000
11,11.021,2.026,21.680,0.148800
12,12.021,2.539,21.000,0.149600
13,13.021,3.052,22.140,0.150400
14,14.021,0.065,23.280,0.151200
15,15.021,0.578,24.420,0.152000
16,16.021,1.091,25.560,0.152800
17,17.042,1.500,26.000,0.153600
18,18.042,2.013,27.140,0.154400
19,19.042,2.526,28.280,0.155200
20,20.042,3.039,29.420,0.156000
21,21.042,0.052,30.560,0.156800
22,22.042,0.565,20.700,0.157600
23,23.042,1.078,21.840,0.158400
24,24.042,1.591,22.980,0.159200
17,17.042,1.604,27.120,0.160000
18,18.042,2.117,28.260,0.160800
19,19.042,2.630,29.400,0.161600
20,20.042,3.000,30.540,0.162400
21,21.042,0.013,31.680,0.163200
22,22.042,0.526,20.000,0.164000
23,23.042,1.039,21.140,0.164800
24,24.042,1.552,22.280,0.165600
17,17.042,1.565,26.420,0.166400
18,18.042,2.078,27.560,0.167200
19,19.042,2.591,28.700,0.168000
20,20.042,3.104,29.840,0.168800
21,21.042,0.117,30.980,0.169600
22,22.042,0.630,21.120,0.170400
23,23.042,1.000,22.260,0.171200
24,24.042,1.513,23.400,0.172000
17,17.042,1.526,27.540,0.172800
18,18.042,2.039,28.680,0.173600
19,19.042,2.552,28.000,0.174400
20,20.042,3.065,29.140,0.175200
21,21.042,0.078,30.280,0.176000
22,22.042,0.591,20.420,0.176800
23,23.042,1.104,21.560,0.177600
24,24.042,1.617,22.700,0.178400
17,17.042,1.630,26.840,0.179200
18,18.042,2.000,27.980,0.180000
19,19.042,2.513,29.120,0.180800
20,20.042,3.026,30.260,0.181600
21,21.042,0.039,31.400,0.182400
22,22.042,0.552,21.540,0.183200
23,23.042,1.065,22.680,0.184000
24,24.042,1.578,22.000,0.184800
17,17.042,1.591,26.140,0.185600
18,18.042,2.104,27.280,0.186400
19,19.042,2.617,28.420,0.187200
20,20.042,3.130,29.560,0.188000
21,21.042,0.000,30.700,0.188800
22,22.042,0.513,20.840,0.189600
23,23.042,1.026,21.980,0.190400
24,24.042,1.539,23.120,0.191200
17,17.042,1.552,27.260,0.192000
