Benchmark::Car::uid,Benchmark::Car::lat,Benchmark::Car::lon,Benchmark::Car::speed,time
1,1.000,0.500,21.000,0.000000
3,3.004,1.513,23.190,0.000800
5,5.008,2.526,25.380,0.001600
7,7.012,0.039,27.570,0.002400
9,9.016,1.052,29.760,0.003200
11,11.020,2.065,20.950,0.004000
13,13.024,3.078,23.140,0.004800
15,15.028,0.591,25.330,0.005600
9,9.000,1.104,30.120,0.035400
11,11.004,2.117,21.310,0.036200
13,13.008,3.130,23.500,0.037000
15,15.012,0.500,25.690,0.037800
17,17.016,1.513,27.880,0.038600
19,19.020,2.526,28.250,0.039400
1,1.024,0.539,21.440,0.040200
3,3.028,1.552,23.630,0.041000
17,17.000,1.565,26.420,0.070800
19,19.004,2.578,28.610,0.071600
1,1.008,0.591,21.800,0.072400
3,3.012,1.604,23.990,0.073200
5,5.016,2.617,26.180,0.074000
7,7.020,0.130,28.370,0.074800
9,9.024,1.000,30.560,0.075600
11,11.028,2.013,21.750,0.076400
5,5.000,2.526,26.540,0.106200
7,7.004,0.039,28.730,0.107000
9,9.008,1.052,29.100,0.107800
11,11.012,2.065,20.290,0.108600
13,13.016,3.078,22.480,0.109400
15,15.020,0.591,24.670,0.110200
17,17.024,1.604,26.860,0.111000
19,19.028,2.617,29.050,0.111800
13,13.000,3.130,22.840,0.141600
15,15.004,0.500,25.030,0.142400
17,17.008,1.513,27.220,0.143200
19,19.012,2.526,29.410,0.144000
1,1.016,0.539,22.600,0.144800
3,3.020,1.552,24.790,0.145600
5,5.024,2.565,26.980,0.146400
7,7.028,0.078,27.350,0.147200
1,1.000,0.591,21.140,0.177000
3,3.004,1.604,23.330,0.177800
5,5.008,2.617,25.520,0.178600
7,7.012,0.130,27.710,0.179400
9,9.016,1.000,29.900,0.180200
11,11.020,2.013,21.090,0.181000
13,13.024,3.026,23.280,0.181800
15,15.028,0.539,25.470,0.182600
9,9.000,1.052,30.260,0.212400
11,11.004,2.065,21.450,0.213200
13,13.008,3.078,23.640,0.214000
15,15.012,0.591,25.830,0.214800
17,17.016,1.604,26.200,0.215600
19,19.020,2.617,28.390,0.216400
1,1.024,0.630,21.580,0.217200
3,3.028,1.500,23.770,0.218000
17,17.000,1.513,26.560,0.247800
19,19.004,2.526,28.750,0.248600
1,1.008,0.539,21.940,0.249400
3,3.012,1.552,24.130,0.250200
5,5.016,2.565,26.320,0.251000
7,7.020,0.078,28.510,0.251800
9,9.024,1.091,30.700,0.252600
11,11.028,2.104,21.890,0.253400
5,5.000,2.617,26.680,0.283200
7,7.004,0.130,27.050,0.284000
9,9.008,1.000,29.240,0.284800
11,11.012,2.013,20.430,0.285600
13,13.016,3.026,22.620,0.286400
15,15.020,0.539,24.810,0.287200
17,17.024,1.552,27.000,0.288000
19,19.028,2.565,29.190,0.288800
13,13.000,3.078,22.980,0.318600
15,15.004,0.591,25.170,0.319400
17,17.008,1.604,27.360,0.320200
19,19.012,2.617,29.550,0.321000
1,1.016,0.630,22.740,0.321800
3,3.020,1.500,24.930,0.322600
5,5.024,2.513,25.300,0.323400
7,7.028,0.026,27.490,0.324200
1,1.000,0.539,21.280,0.354000
3,3.004,1.552,23.470,0.354800
5,5.008,2.565,25.660,0.355600
7,7.012,0.078,27.850,0.356400
9,9.016,1.091,30.040,0.357200
11,11.020,2.104,21.230,0.358000
13,13.024,3.117,23.420,0.358800
15,15.028,0.630,25.610,0.359600
9,9.000,1.000,30.400,0.389400
11,11.004,2.013,21.590,0.390200
13,13.008,3.026,23.780,0.391000
15,15.012,0.539,24.150,0.391800
17,17.016,1.552,26.340,0.392600
19,19.020,2.565,28.530,0.393400
1,1.024,0.578,21.720,0.394200
3,3.028,1.591,23.910,0.395000
21,21.021,0.000,30.000,0.424800
23,23.025,1.013,21.190,0.425600
1,1.029,0.526,21.380,0.426400
3,3.033,1.539,23.570,0.427200
5,5.037,2.552,25.760,0.428000
7,7.041,0.065,27.950,0.428800
9,9.045,1.078,30.140,0.429600
11,11.049,2.091,21.330,0.430400
5,5.021,2.604,26.120,0.460200
7,7.025,0.117,28.310,0.461000
9,9.029,1.130,30.500,0.461800
11,11.033,2.000,21.690,0.462600
13,13.037,3.013,23.880,0.463400
15,15.041,0.526,24.250,0.464200
21,21.045,0.039,30.440,0.465000
23,23.049,1.052,21.630,0.465800
13,13.021,3.065,22.420,0.495600
15,15.025,0.578,24.610,0.496400
21,21.029,0.091,30.800,0.497200
23,23.033,1.104,21.990,0.498000
1,1.037,0.617,22.180,0.498800
3,3.041,1.630,24.370,0.499600
5,5.045,2.500,26.560,0.500400
7,7.049,0.013,28.750,0.501200
1,1.021,0.526,22.540,0.531000
3,3.025,1.539,24.730,0.531800
