label	objects	constraints	events_requested	events_processed	avg_ms	duration_s	events_per_s	memory_mode	memory_value	memory_note	history_depth	periodic_constraints	periodic_hz	burst_size	hotset_size	phase_length	time_step_ms	burst_gap_ms	family	repetition
showcase_object_o001_r01	1	6	640	640	0.028	0.017765	36025.894	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	1
showcase_object_o001_r02	1	6	640	640	0.010	0.006714	95323.205	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	2
showcase_object_o001_r03	1	6	640	640	0.011	0.007142	89610.753	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	3
showcase_object_o001_r04	1	6	640	640	0.011	0.006981	91677.410	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	4
showcase_object_o001_r05	1	6	640	640	0.011	0.007266	88081.475	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	5
showcase_object_o002_r01	2	6	640	640	0.041	0.026143	24480.741	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	1
showcase_object_o002_r02	2	6	640	640	0.043	0.027673	23127.236	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	2
showcase_object_o002_r03	2	6	640	640	0.040	0.025310	25286.448	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	3
showcase_object_o002_r04	2	6	640	640	0.040	0.025702	24900.786	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	4
showcase_object_o002_r05	2	6	640	640	0.040	0.025355	25241.570	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	5
showcase_object_o004_r01	4	6	640	640	0.147	0.093913	6814.818	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	1
showcase_object_o004_r02	4	6	640	640	0.141	0.090503	7071.589	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	2
showcase_object_o004_r03	4	6	640	640	0.143	0.091286	7010.933	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	3
showcase_object_o004_r04	4	6	640	640	0.143	0.091267	7012.392	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	4
showcase_object_o004_r05	4	6	640	640	0.150	0.096021	6665.209	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	5
showcase_object_o006_r01	6	6	640	640	0.312	0.199532	3207.506	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	1
showcase_object_o006_r02	6	6	640	640	0.317	0.203015	3152.476	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	2
showcase_object_o006_r03	6	6	640	640	0.319	0.204352	3131.851	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	3
showcase_object_o006_r04	6	6	640	640	0.322	0.205804	3109.755	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	4
showcase_object_o006_r05	6	6	640	640	0.343	0.219597	2914.430	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	5
showcase_object_o008_r01	8	6	640	640	0.553	0.354079	1807.506	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	1
showcase_object_o008_r02	8	6	640	640	0.558	0.356892	1793.260	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	2
showcase_object_o008_r03	8	6	640	640	0.572	0.366307	1747.168	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	3
showcase_object_o008_r04	8	6	640	640	0.563	0.360508	1775.273	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	4
showcase_object_o008_r05	8	6	640	640	0.566	0.362533	1765.357	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	5
showcase_object_o012_r01	12	6	640	640	1.268	0.811788	788.383	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	1
showcase_object_o012_r02	12	6	640	640	1.244	0.796102	803.917	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	2
showcase_object_o012_r03	12	6	640	640	1.246	0.797305	802.704	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	3
showcase_object_o012_r04	12	6	640	640	1.256	0.803781	796.237	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	4
showcase_object_o012_r05	12	6	640	640	1.263	0.808174	791.909	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	5
showcase_object_o016_r01	16	6	640	640	2.148	1.375028	465.445	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	1
showcase_object_o016_r02	16	6	640	640	2.180	1.395245	458.701	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	2
showcase_object_o016_r03	16	6	640	640	2.208	1.413333	452.830	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	3
showcase_object_o016_r04	16	6	640	640	2.192	1.403216	456.095	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	4
showcase_object_o016_r05	16	6	640	640	2.194	1.404234	455.764	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	5
showcase_object_o020_r01	20	6	640	640	3.457	2.212255	289.298	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	1
showcase_object_o020_r02	20	6	640	640	3.382	2.164814	295.637	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	2
showcase_object_o020_r03	20	6	640	640	3.392	2.170931	294.804	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	3
showcase_object_o020_r04	20	6	640	640	3.391	2.170581	294.852	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	4
showcase_object_o020_r05	20	6	640	640	3.368	2.155469	296.919	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	5
showcase_object_o024_r01	24	6	640	640	4.842	3.098640	206.542	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	1
showcase_object_o024_r02	24	6	640	640	4.843	3.099415	206.491	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	2
showcase_object_o024_r03	24	6	640	640	4.854	3.106725	206.005	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	3
showcase_object_o024_r04	24	6	640	640	4.784	3.061669	209.036	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	4
showcase_object_o024_r05	24	6	640	640	4.779	3.058406	209.259	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	5
showcase_object_o032_r01	32	6	640	640	8.503	5.441883	117.606	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	1
showcase_object_o032_r02	32	6	640	640	8.412	5.383587	118.880	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	2
showcase_object_o032_r03	32	6	640	640	8.420	5.388990	118.761	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	3
showcase_object_o032_r04	32	6	640	640	8.624	5.519388	115.955	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	4
showcase_object_o032_r05	32	6	640	640	8.521	5.453483	117.356	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	5
