x	avg_ms_median	avg_ms_min	avg_ms_max	avg_ms_err_minus	avg_ms_err_plus	throughput_median	throughput_min	throughput_max	throughput_err_minus	throughput_err_plus
1	0.818	0.804	0.824	0.014	0.006	1222.230	1213.737	1243.839	8.493	21.609
2	1.613	1.596	1.629	0.017	0.016	619.760	614.023	626.517	5.737	6.757
4	3.221	3.165	3.278	0.056	0.057	310.460	305.091	315.941	5.369	5.481
6	4.808	4.763	4.886	0.045	0.078	207.969	204.657	209.970	3.312	2.001
8	6.412	6.385	6.511	0.027	0.099	155.956	153.595	156.608	2.361	0.652
10	8.018	7.956	8.101	0.062	0.083	124.717	123.441	125.690	1.276	0.973
12	9.621	9.573	9.680	0.048	0.059	103.942	103.305	104.459	0.637	0.517
14	11.147	11.054	11.300	0.093	0.153	89.713	88.494	90.466	1.219	0.753
16	12.790	12.771	12.831	0.019	0.041	78.185	77.934	78.304	0.251	0.119
18	14.442	14.315	15.569	0.127	1.127	69.240	64.232	69.856	5.008	0.616
20	16.057	15.939	16.207	0.118	0.150	62.276	61.702	62.739	0.574	0.463
24	19.076	19.030	19.346	0.046	0.270	52.421	51.691	52.547	0.730	0.126
