x	avg_ms_median	avg_ms_min	avg_ms_max	avg_ms_err_minus	avg_ms_err_plus	throughput_median	throughput_min	throughput_max	throughput_err_minus	throughput_err_plus
0	4.856	4.770	4.916	0.086	0.060	205.912	203.433	209.650	2.479	3.738
1	4.875	4.791	4.908	0.084	0.033	205.125	203.759	208.709	1.366	3.584
2	4.848	4.803	4.873	0.045	0.025	206.270	205.201	208.188	1.069	1.918
4	4.892	4.804	4.953	0.088	0.061	204.392	201.899	208.161	2.493	3.769
6	4.887	4.791	4.896	0.096	0.009	204.639	204.248	208.724	0.391	4.085
8	4.878	4.793	4.936	0.085	0.058	204.984	202.584	208.647	2.400	3.663
10	4.828	4.807	4.899	0.021	0.071	207.126	204.128	208.006	2.998	0.880
12	4.909	4.819	5.086	0.090	0.177	203.714	196.615	207.493	7.099	3.779
16	4.859	4.814	4.914	0.045	0.055	205.782	203.480	207.740	2.302	1.958
20	4.870	4.824	4.901	0.046	0.031	205.349	204.051	207.294	1.298	1.945
