objects	constraints	avg_ms_median	avg_ms_min	avg_ms_max	throughput_median	throughput_min	throughput_max	repetitions
4	2	0.054	0.054	0.055	18396.443	18264.840	18650.917	3
8	2	0.192	0.188	0.210	5220.115	4750.406	5320.210	3
12	2	0.422	0.409	0.422	2371.096	2370.417	2442.823	3
16	2	0.724	0.723	0.794	1380.858	1258.904	1383.237	3
24	2	1.544	1.539	1.580	647.474	632.985	649.685	3
32	2	2.671	2.669	2.753	374.423	363.221	374.685	3
40	2	4.126	4.054	4.147	242.361	241.155	246.692	3
4	4	0.109	0.108	0.116	9158.558	8633.094	9272.854	3
8	4	0.374	0.370	0.376	2674.840	2656.483	2701.820	3
12	4	0.825	0.820	0.826	1211.259	1209.964	1219.605	3
16	4	1.452	1.436	1.489	688.838	671.526	696.342	3
24	4	3.082	3.070	3.221	324.453	310.491	325.732	3
32	4	5.276	5.275	5.437	189.552	183.916	189.573	3
40	4	8.154	8.119	8.227	122.630	121.547	123.164	3
4	6	0.148	0.147	0.150	6758.469	6662.225	6806.001	3
8	6	0.559	0.543	0.559	1789.549	1788.229	1840.561	3
12	6	1.218	1.193	1.249	821.055	800.502	838.410	3
16	6	2.183	2.149	2.322	458.092	430.664	465.375	3
24	6	4.672	4.626	4.736	214.025	211.153	216.153	3
32	6	8.058	8.006	8.117	124.100	123.192	124.906	3
40	6	12.152	12.111	12.187	82.293	82.053	82.569	3
4	8	0.194	0.194	0.195	5140.838	5119.891	5150.436	3
8	8	0.743	0.743	0.776	1344.997	1289.248	1345.457	3
12	8	1.654	1.631	1.774	604.399	563.646	613.191	3
16	8	2.959	2.929	3.016	337.914	331.538	341.417	3
24	8	6.171	6.143	6.202	162.048	161.238	162.785	3
32	8	10.708	10.656	10.855	93.384	92.121	93.843	3
40	8	16.316	16.131	16.367	61.287	61.099	61.991	3
4	12	0.283	0.280	0.288	3529.827	3476.044	3564.956	3
8	12	1.095	1.090	1.109	913.214	901.967	917.484	3
12	12	2.433	2.427	2.481	410.971	403.075	412.091	3
16	12	4.332	4.250	4.433	230.840	225.568	235.307	3
24	12	9.359	9.288	9.380	106.843	106.614	107.668	3
32	12	15.943	15.887	15.948	62.722	62.705	62.945	3
40	12	24.423	24.233	24.541	40.946	40.749	41.266	3
4	16	0.371	0.360	0.376	2693.512	2662.614	2779.322	3
8	16	1.456	1.443	1.465	686.597	682.485	692.805	3
12	16	3.238	3.199	3.261	308.826	306.626	312.541	3
16	16	5.684	5.632	5.732	175.938	174.470	177.559	3
24	16	12.443	12.341	12.445	80.364	80.351	81.027	3
32	16	21.160	21.134	21.314	47.259	46.918	47.316	3
40	16	31.944	31.840	32.148	31.305	31.106	31.407	3
4	20	0.472	0.472	0.491	2118.270	2037.265	2119.598	3
8	20	1.833	1.822	1.837	545.495	544.321	548.894	3
12	20	4.035	4.034	4.106	247.851	243.545	247.902	3
16	20	7.162	7.023	7.176	139.622	139.343	142.384	3
24	20	15.302	15.296	15.355	65.352	65.125	65.378	3
32	20	26.651	26.627	26.671	37.522	37.494	37.555	3
40	20	40.542	40.044	40.568	24.665	24.650	24.972	3
