x	avg_ms_median	avg_ms_min	avg_ms_max	avg_ms_err_minus	avg_ms_err_plus	throughput_median	throughput_min	throughput_max	throughput_err_minus	throughput_err_plus
1	0.011	0.010	0.028	0.001	0.017	89610.753	36025.894	95323.205	53584.859	5712.452
2	0.040	0.040	0.043	0.000	0.003	24900.786	23127.236	25286.448	1773.550	385.662
4	0.143	0.141	0.150	0.002	0.007	7010.933	6665.209	7071.589	345.724	60.656
6	0.319	0.312	0.343	0.007	0.024	3131.851	2914.430	3207.506	217.421	75.655
8	0.563	0.553	0.572	0.010	0.009	1775.273	1747.168	1807.506	28.105	32.233
12	1.256	1.244	1.268	0.012	0.012	796.237	788.383	803.917	7.854	7.680
16	2.192	2.148	2.208	0.044	0.016	456.095	452.830	465.445	3.265	9.350
20	3.391	3.368	3.457	0.023	0.066	294.852	289.298	296.919	5.554	2.067
24	4.842	4.779	4.854	0.063	0.012	206.542	206.005	209.259	0.537	2.717
32	8.503	8.412	8.624	0.091	0.121	117.606	115.955	118.880	1.651	1.274
40	12.979	12.919	13.252	0.060	0.273	77.044	75.461	77.404	1.583	0.360
48	18.559	18.336	18.732	0.223	0.173	53.883	53.383	54.537	0.500	0.654
