x	avg_ms_median	avg_ms_min	avg_ms_max	avg_ms_err_minus	avg_ms_err_plus	throughput_median	throughput_min	throughput_max	throughput_err_minus	throughput_err_plus
0	4.842	4.804	4.875	0.038	0.033	206.513	205.136	208.158	1.377	1.645
1	4.843	4.831	4.896	0.012	0.053	206.495	204.238	206.990	2.257	0.495
2	4.865	4.800	4.914	0.065	0.049	205.555	203.504	208.340	2.051	2.785
4	4.855	4.813	4.883	0.042	0.028	205.966	204.781	207.777	1.185	1.811
6	4.889	4.762	5.172	0.127	0.283	204.521	193.342	210.005	11.179	5.484
8	4.860	4.831	5.085	0.029	0.225	205.741	196.649	206.991	9.092	1.250
10	4.813	4.783	4.862	0.030	0.049	207.759	205.672	209.081	2.087	1.322
12	4.917	4.858	4.999	0.059	0.082	203.393	200.054	205.839	3.339	2.446
16	4.873	4.857	4.925	0.016	0.052	205.222	203.046	205.887	2.176	0.665
20	4.882	4.825	4.941	0.057	0.059	204.830	202.393	207.243	2.437	2.413
