label	objects	constraints	events_requested	events_processed	avg_ms	duration_s	events_per_s	memory_mode	memory_value	memory_note	history_depth	periodic_constraints	periodic_hz	burst_size	hotset_size	phase_length	time_step_ms	burst_gap_ms	family	repetition
showcase_object_o001_r01	1	6	640	640	0.009	0.006124	104506.858	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	1
showcase_object_o001_r02	1	6	640	640	0.010	0.006369	100486.733	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	2
showcase_object_o001_r03	1	6	640	640	0.008	0.005102	125441.004	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	3
showcase_object_o001_r04	1	6	640	640	0.006	0.004112	155642.023	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	4
showcase_object_o001_r05	1	6	640	640	0.008	0.005351	119603.812	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	5
showcase_object_o002_r01	2	6	640	640	0.080	0.051306	12474.175	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	1
showcase_object_o002_r02	2	6	640	640	0.078	0.050237	12739.614	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	2
showcase_object_o002_r03	2	6	640	640	0.078	0.050211	12746.211	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	3
showcase_object_o002_r04	2	6	640	640	0.075	0.048443	13211.403	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	4
showcase_object_o002_r05	2	6	640	640	0.092	0.059029	10842.128	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	5
showcase_object_o004_r01	4	6	640	640	0.416	0.266466	2401.807	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	1
showcase_object_o004_r02	4	6	640	640	0.374	0.239669	2670.350	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	2
showcase_object_o004_r03	4	6	640	640	0.427	0.273930	2336.363	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	3
showcase_object_o004_r04	4	6	640	640	0.411	0.262866	2434.701	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	4
showcase_object_o004_r05	4	6	640	640	0.373	0.239472	2672.546	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	5
showcase_object_o006_r01	6	6	640	640	0.895	0.573490	1115.974	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	1
showcase_object_o006_r02	6	6	640	640	0.832	0.532850	1201.088	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	2
showcase_object_o006_r03	6	6	640	640	0.882	0.565348	1132.046	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	3
showcase_object_o006_r04	6	6	640	640	0.943	0.604361	1058.970	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	4
showcase_object_o006_r05	6	6	640	640	0.833	0.533704	1199.167	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	5
showcase_object_o008_r01	8	6	640	640	1.585	1.015247	630.388	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	1
showcase_object_o008_r02	8	6	640	640	1.823	1.167941	547.973	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	2
showcase_object_o008_r03	8	6	640	640	1.860	1.190347	537.658	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	3
showcase_object_o008_r04	8	6	640	640	1.875	1.200022	533.324	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	4
showcase_object_o008_r05	8	6	640	640	1.526	0.977111	654.992	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	5
showcase_object_o012_r01	12	6	640	640	3.766	2.411183	265.430	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	1
showcase_object_o012_r02	12	6	640	640	3.724	2.384741	268.373	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	2
showcase_object_o012_r03	12	6	640	640	3.731	2.388859	267.910	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	3
showcase_object_o012_r04	12	6	640	640	3.711	2.375903	269.371	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	4
showcase_object_o012_r05	12	6	640	640	3.671	2.350486	272.284	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	5
showcase_object_o016_r01	16	6	640	640	7.093	4.541057	140.936	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	1
showcase_object_o016_r02	16	6	640	640	7.358	4.710560	135.865	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	2
showcase_object_o016_r03	16	6	640	640	6.907	4.421738	144.739	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	3
showcase_object_o016_r04	16	6	640	640	6.883	4.406618	145.236	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	4
showcase_object_o016_r05	16	6	640	640	6.959	4.455335	143.648	none	NA	not_measured	0	0	100	1	0	0	1.0	10.0	object_sweep	5
