Benchmark::Car::uid,Benchmark::Car::lat,Benchmark::Car::lon,Benchmark::Car::speed,time
1,1.000,0.500,21.000,0.000000
2,2.000,1.013,22.140,0.001000
3,3.000,1.526,23.280,0.002000
4,4.000,2.039,24.420,0.003000
5,5.000,2.552,25.560,0.004000
6,6.000,3.065,26.700,0.005000
7,7.000,0.078,27.840,0.006000
8,8.000,0.591,28.980,0.007000
9,9.000,1.104,30.120,0.008000
10,10.000,1.617,31.260,0.009000
11,11.000,2.130,21.400,0.010000
12,12.000,2.500,22.540,0.011000
13,13.000,3.013,23.680,0.012000
14,14.000,0.026,23.000,0.013000
15,15.000,0.539,24.140,0.014000
16,16.000,1.052,25.280,0.015000
17,17.000,1.565,26.420,0.016000
18,18.000,2.078,27.560,0.017000
19,19.000,2.591,28.700,0.018000
20,20.000,3.104,29.840,0.019000
21,21.000,0.117,30.980,0.020000
22,22.000,0.630,21.120,0.021000
23,23.000,1.000,22.260,0.022000
24,24.000,1.513,23.400,0.023000
25,25.000,2.026,24.540,0.024000
26,26.000,2.539,25.680,0.025000
27,27.000,3.052,25.000,0.026000
28,28.000,0.065,26.140,0.027000
29,29.000,0.578,27.280,0.028000
30,30.000,1.091,28.420,0.029000
31,31.000,1.604,29.560,0.030000
32,32.000,2.117,30.700,0.031000
33,33.000,2.630,20.840,0.032000
34,34.000,3.000,21.980,0.033000
35,35.000,0.013,23.120,0.034000
36,36.000,0.526,24.260,0.035000
37,37.000,1.039,25.400,0.036000
38,38.000,1.552,26.540,0.037000
39,39.000,2.065,27.680,0.038000
40,40.000,2.578,27.000,0.039000
41,41.000,3.091,28.140,0.040000
42,42.000,0.104,29.280,0.041000
43,43.000,0.617,30.420,0.042000
44,44.000,1.130,20.560,0.043000
45,45.000,1.500,21.700,0.044000
46,46.000,2.013,22.840,0.045000
47,47.000,2.526,23.980,0.046000
48,48.000,3.039,25.120,0.047000
1,1.000,0.552,22.260,0.048000
2,2.000,1.065,23.400,0.049000
3,3.000,1.578,24.540,0.050000
4,4.000,2.091,25.680,0.051000
5,5.000,2.604,25.000,0.052000
6,6.000,3.117,26.140,0.053000
7,7.000,0.130,27.280,0.054000
8,8.000,0.500,28.420,0.055000
9,9.000,1.013,29.560,0.056000
10,10.000,1.526,30.700,0.057000
11,11.000,2.039,20.840,0.058000
12,12.000,2.552,21.980,0.059000
13,13.000,3.065,23.120,0.060000
14,14.000,0.078,24.260,0.061000
15,15.000,0.591,25.400,0.062000
16,16.000,1.104,26.540,0.063000
17,17.000,1.617,27.680,0.064000
18,18.000,2.130,27.000,0.065000
19,19.000,2.500,28.140,0.066000
20,20.000,3.013,29.280,0.067000
21,21.000,0.026,30.420,0.068000
22,22.000,0.539,20.560,0.069000
23,23.000,1.052,21.700,0.070000
24,24.000,1.565,22.840,0.071000
25,25.000,2.078,23.980,0.072000
26,26.000,2.591,25.120,0.073000
