label	objects	constraints	events_requested	events_processed	avg_ms	duration_s	events_per_s	memory_mode	memory_value	memory_note	history_depth	periodic_constraints	periodic_hz	family	repetition
showcase_object_o001_r01	1	4	100	100	0.285	0.028536	3504.345	none	NA	not_measured	0	0	100	object_sweep	1
showcase_object_o005_r01	5	4	100	100	0.552	0.055311	1807.959	none	NA	not_measured	0	0	100	object_sweep	1
showcase_object_o010_r01	10	4	100	100	2.746	0.274637	364.117	none	NA	not_measured	0	0	100	object_sweep	1
showcase_object_o020_r01	20	4	100	100	10.276	1.028037	97.273	none	NA	not_measured	0	0	100	object_sweep	1
showcase_object_o040_r01	40	4	100	100	26.313	2.631608	38.000	none	NA	not_measured	0	0	100	object_sweep	1
showcase_constraint_c001_r01	20	1	100	100	1.909	0.191159	523.125	none	NA	not_measured	0	0	100	constraint_sweep	1
showcase_constraint_c002_r01	20	2	100	100	3.770	0.377332	265.019	none	NA	not_measured	0	0	100	constraint_sweep	1
showcase_constraint_c004_r01	20	4	100	100	7.919	0.792273	126.219	none	NA	not_measured	0	0	100	constraint_sweep	1
showcase_constraint_c008_r01	20	8	100	100	15.463	1.546586	64.659	none	NA	not_measured	0	0	100	constraint_sweep	1
showcase_constraint_c012_r01	20	12	100	100	24.191	2.419395	41.333	none	NA	not_measured	0	0	100	constraint_sweep	1
showcase_history_h000_r01	20	4	100	100	8.143	0.814594	122.761	none	NA	not_measured	0	0	100	history_sweep	1
showcase_history_h001_r01	20	4	100	100	8.250	0.825257	121.174	none	NA	not_measured	1	0	100	history_sweep	1
showcase_history_h002_r01	20	4	100	100	8.287	0.828684	120.673	none	NA	not_measured	2	0	100	history_sweep	1
showcase_history_h004_r01	20	4	100	100	8.101	0.810055	123.448	none	NA	not_measured	4	0	100	history_sweep	1
showcase_history_h008_r01	20	4	100	100	8.300	0.830311	120.437	none	NA	not_measured	8	0	100	history_sweep	1
showcase_periodic_p000_r01	20	4	100	100	8.020	0.802303	124.641	none	NA	not_measured	0	0	100	periodic_sweep	1
showcase_periodic_p001_r01	20	4	100	100	8.653	0.865640	115.521	none	NA	not_measured	0	1	100	periodic_sweep	1
showcase_periodic_p002_r01	20	4	100	100	8.796	0.879900	113.649	none	NA	not_measured	0	2	100	periodic_sweep	1
showcase_periodic_p004_r01	20	4	100	100	7.830	0.783342	127.658	none	NA	not_measured	0	4	100	periodic_sweep	1
