Benchmark::Car::uid,Benchmark::Car::lat,Benchmark::Car::lon,Benchmark::Car::speed,time
1,1.000,0.500,21.000,0.000000
3,3.004,1.513,23.190,0.000800
5,5.008,2.526,25.380,0.001600
1,1.012,0.539,21.570,0.002400
5,5.000,2.552,25.560,0.015200
1,1.004,0.565,21.750,0.016000
3,3.008,1.578,23.940,0.016800
5,5.012,2.591,26.130,0.017600
3,3.000,1.604,24.120,0.030400
5,5.004,2.617,26.310,0.031200
1,1.008,0.630,22.500,0.032000
3,3.012,1.500,24.690,0.032800
1,1.000,0.513,22.680,0.045600
3,3.004,1.526,23.050,0.046400
5,5.008,2.539,25.240,0.047200
1,1.012,0.552,21.430,0.048000
5,5.000,2.565,25.420,0.060800
1,1.004,0.578,21.610,0.061600
3,3.008,1.591,23.800,0.062400
5,5.012,2.604,25.990,0.063200
3,3.000,1.617,23.980,0.076000
5,5.004,2.630,26.170,0.076800
1,1.008,0.500,22.360,0.077600
3,3.012,1.513,24.550,0.078400
1,1.000,0.526,22.540,0.091200
3,3.004,1.539,24.730,0.092000
5,5.008,2.552,25.100,0.092800
1,1.012,0.565,21.290,0.093600
5,5.000,2.578,25.280,0.106400
1,1.004,0.591,21.470,0.107200
3,3.008,1.604,23.660,0.108000
5,5.012,2.617,25.850,0.108800
7,7.021,0.000,27.000,0.121600
9,9.025,1.013,29.190,0.122400
11,11.029,2.026,20.380,0.123200
7,7.033,0.039,27.570,0.124000
11,11.021,2.052,20.560,0.136800
7,7.025,0.065,27.750,0.137600
9,9.029,1.078,29.940,0.138400
11,11.033,2.091,21.130,0.139200
9,9.021,1.104,30.120,0.152000
11,11.025,2.117,21.310,0.152800
7,7.029,0.130,28.500,0.153600
9,9.033,1.000,30.690,0.154400
7,7.021,0.013,28.680,0.167200
9,9.025,1.026,29.050,0.168000
11,11.029,2.039,20.240,0.168800
7,7.033,0.052,27.430,0.169600
11,11.021,2.065,20.420,0.182400
7,7.025,0.078,27.610,0.183200
9,9.029,1.091,29.800,0.184000
11,11.033,2.104,20.990,0.184800
9,9.021,1.117,29.980,0.197600
11,11.025,2.130,21.170,0.198400
7,7.029,0.000,28.360,0.199200
9,9.033,1.013,30.550,0.200000
7,7.021,0.026,28.540,0.212800
9,9.025,1.039,30.730,0.213600
11,11.029,2.052,20.100,0.214400
7,7.033,0.065,27.290,0.215200
11,11.021,2.078,20.280,0.228000
7,7.025,0.091,27.470,0.228800
9,9.029,1.104,29.660,0.229600
11,11.033,2.117,20.850,0.230400
1,1.042,0.500,21.000,0.243200
3,3.046,1.513,23.190,0.244000
5,5.050,2.526,25.380,0.244800
1,1.054,0.539,21.570,0.245600
5,5.042,2.552,25.560,0.258400
1,1.046,0.565,21.750,0.259200
3,3.050,1.578,23.940,0.260000
5,5.054,2.591,26.130,0.260800
3,3.042,1.604,24.120,0.273600
5,5.046,2.617,26.310,0.274400
1,1.050,0.630,22.500,0.275200
3,3.054,1.500,24.690,0.276000
1,1.042,0.513,22.680,0.288800
3,3.046,1.526,23.050,0.289600
5,5.050,2.539,25.240,0.290400
1,1.054,0.552,21.430,0.291200
5,5.042,2.565,25.420,0.304000
1,1.046,0.578,21.610,0.304800
3,3.050,1.591,23.800,0.305600
5,5.054,2.604,25.990,0.306400
3,3.042,1.617,23.980,0.319200
5,5.046,2.630,26.170,0.320000
1,1.050,0.500,22.360,0.320800
3,3.054,1.513,24.550,0.321600
1,1.042,0.526,22.540,0.334400
3,3.046,1.539,24.730,0.335200
5,5.050,2.552,25.100,0.336000
1,1.054,0.565,21.290,0.336800
5,5.042,2.578,25.280,0.349600
1,1.046,0.591,21.470,0.350400
3,3.050,1.604,23.660,0.351200
5,5.054,2.617,25.850,0.352000
7,7.063,0.000,27.000,0.364800
9,9.067,1.013,29.190,0.365600
11,11.071,2.026,20.380,0.366400
7,7.075,0.039,27.570,0.367200
11,11.063,2.052,20.560,0.380000
7,7.067,0.065,27.750,0.380800
9,9.071,1.078,29.940,0.381600
11,11.075,2.091,21.130,0.382400
9,9.063,1.104,30.120,0.395200
11,11.067,2.117,21.310,0.396000
7,7.071,0.130,28.500,0.396800
9,9.075,1.000,30.690,0.397600
7,7.063,0.013,28.680,0.410400
9,9.067,1.026,29.050,0.411200
11,11.071,2.039,20.240,0.412000
7,7.075,0.052,27.430,0.412800
11,11.063,2.065,20.420,0.425600
7,7.067,0.078,27.610,0.426400
9,9.071,1.091,29.800,0.427200
11,11.075,2.104,20.990,0.428000
9,9.063,1.117,29.980,0.440800
11,11.067,2.130,21.170,0.441600
7,7.071,0.000,28.360,0.442400
9,9.075,1.013,30.550,0.443200
