Benchmark::Car::uid,Benchmark::Car::lat,Benchmark::Car::lon,Benchmark::Car::speed,time
1,1.000,0.500,21.000,0.001
2,2.000,1.000,22.100,0.002
3,3.000,1.500,23.200,0.003
4,4.000,2.000,24.300,0.004
5,5.000,2.500,25.400,0.005
6,6.000,3.000,26.000,0.006
7,7.000,0.000,27.100,0.007
8,8.000,0.500,28.200,0.008
9,9.000,1.000,29.300,0.009
10,10.000,1.500,30.400,0.010
1,1.000,0.500,21.000,0.011
2,2.000,1.000,22.100,0.012
3,3.000,1.500,23.200,0.013
4,4.000,2.000,24.300,0.014
5,5.000,2.500,25.400,0.015
6,6.000,3.000,26.000,0.016
7,7.000,0.000,27.100,0.017
8,8.000,0.500,28.200,0.018
9,9.000,1.000,29.300,0.019
10,10.000,1.500,30.400,0.020
1,1.000,0.500,21.000,0.021
2,2.000,1.000,22.100,0.022
3,3.000,1.500,23.200,0.023
4,4.000,2.000,24.300,0.024
5,5.000,2.500,25.400,0.025
6,6.000,3.000,26.000,0.026
7,7.000,0.000,27.100,0.027
8,8.000,0.500,28.200,0.028
9,9.000,1.000,29.300,0.029
10,10.000,1.500,30.400,0.030
1,1.000,0.500,21.000,0.031
2,2.000,1.000,22.100,0.032
3,3.000,1.500,23.200,0.033
4,4.000,2.000,24.300,0.034
5,5.000,2.500,25.400,0.035
6,6.000,3.000,26.000,0.036
7,7.000,0.000,27.100,0.037
8,8.000,0.500,28.200,0.038
9,9.000,1.000,29.300,0.039
10,10.000,1.500,30.400,0.040
1,1.000,0.500,21.000,0.041
2,2.000,1.000,22.100,0.042
3,3.000,1.500,23.200,0.043
4,4.000,2.000,24.300,0.044
5,5.000,2.500,25.400,0.045
6,6.000,3.000,26.000,0.046
7,7.000,0.000,27.100,0.047
8,8.000,0.500,28.200,0.048
9,9.000,1.000,29.300,0.049
10,10.000,1.500,30.400,0.050
1,1.000,0.500,21.000,0.051
2,2.000,1.000,22.100,0.052
3,3.000,1.500,23.200,0.053
4,4.000,2.000,24.300,0.054
5,5.000,2.500,25.400,0.055
6,6.000,3.000,26.000,0.056
7,7.000,0.000,27.100,0.057
8,8.000,0.500,28.200,0.058
9,9.000,1.000,29.300,0.059
10,10.000,1.500,30.400,0.060
1,1.000,0.500,21.000,0.061
2,2.000,1.000,22.100,0.062
3,3.000,1.500,23.200,0.063
4,4.000,2.000,24.300,0.064
5,5.000,2.500,25.400,0.065
6,6.000,3.000,26.000,0.066
7,7.000,0.000,27.100,0.067
8,8.000,0.500,28.200,0.068
9,9.000,1.000,29.300,0.069
10,10.000,1.500,30.400,0.070
1,1.000,0.500,21.000,0.071
2,2.000,1.000,22.100,0.072
3,3.000,1.500,23.200,0.073
4,4.000,2.000,24.300,0.074
5,5.000,2.500,25.400,0.075
6,6.000,3.000,26.000,0.076
7,7.000,0.000,27.100,0.077
8,8.000,0.500,28.200,0.078
9,9.000,1.000,29.300,0.079
10,10.000,1.500,30.400,0.080
1,1.000,0.500,21.000,0.081
2,2.000,1.000,22.100,0.082
3,3.000,1.500,23.200,0.083
4,4.000,2.000,24.300,0.084
5,5.000,2.500,25.400,0.085
6,6.000,3.000,26.000,0.086
7,7.000,0.000,27.100,0.087
8,8.000,0.500,28.200,0.088
9,9.000,1.000,29.300,0.089
10,10.000,1.500,30.400,0.090
1,1.000,0.500,21.000,0.091
2,2.000,1.000,22.100,0.092
3,3.000,1.500,23.200,0.093
4,4.000,2.000,24.300,0.094
5,5.000,2.500,25.400,0.095
6,6.000,3.000,26.000,0.096
7,7.000,0.000,27.100,0.097
8,8.000,0.500,28.200,0.098
9,9.000,1.000,29.300,0.099
10,10.000,1.500,30.400,0.100
