time,bat,alt,lat,lon,vx,vy,vz,wnd_dir,wnd_spd,gps,heading,roll,pitch,gps_glitch_x,gps_glitch_y
1563177176.560878,100.0,0.02,50.0045657,8.4999636,-0.14,0.12,0.0,#,#,10,4,-3.876926257362356e-06,-8.176924893632531e-06,#,#
1563177176.561879,100,0.02,50.0045657,8.4999636,-0.14,0.12,0.0,#,#,10,4,-3.876927621604409e-06,-8.176924893632531e-06,#,#
1563177176.910883,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177176.9118788,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177176.91288,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177176.913882,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177176.917878,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177176.93189,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177176.938879,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177176.939889,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177177.478468,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177177.4794679,#,0.02,50.0045657,8.4999636,-0.14,0.12,0.0,#,#,10,4,-3.876928531099111e-06,-8.176926712621935e-06,#,#
1563177177.4804668,100,0.02,50.0045657,8.4999636,-0.14,0.12,0.0,#,#,10,4,-3.876930804835865e-06,-8.176928531611338e-06,#,#
1563177177.495477,#,#,#,#,#,#,#,#,#,#,4,#,#,#,#
1563177177.525471,#,0.02,50.0045657,8.4999636,-0.14,0.12,0.0,#,#,#,#,#,#,#,#
1563177177.527468,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177177.528988,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177177.53099,#,#,#,#,#,#,#,#,#,#,#,-3.876931714330567e-06,-8.176936717063654e-06,#,#
1563177177.532992,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177177.536994,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177177.538992,#,#,#,#,#,#,#,#,#,10,#,#,#,#,#
1563177177.5439909,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
