time,bat,alt,lat,lon,vx,vy,vz,wnd_dir,wnd_spd,gps,heading,roll,pitch,gps_glitch_x,gps_glitch_y
1563180842.3566768,100.0,0.01,50.0045656,8.4999635,-0.15,0.12,0.0,#,#,#,#,#,#,#,#
1563180842.375671,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180842.377673,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180842.379674,#,#,#,#,#,#,#,#,#,10,4,-3.876970822602743e-06,-8.176974915841129e-06,#,#
1563180842.380671,100,0.01,50.0045656,8.4999635,-0.15,0.12,0.0,#,#,#,4,-3.876972641592147e-06,-8.176974915841129e-06,#,#
1563180842.381671,#,#,#,#,#,#,#,#,#,10,#,#,#,#,#
1563180842.389693,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180842.390686,100,0.01,50.0045656,8.4999635,-0.15,0.12,0.0,#,#,10,4,-3.876975824823603e-06,-8.176976734830532e-06,#,#
1563180842.400672,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180842.402683,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180842.4086769,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180842.414676,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180842.416672,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180842.424671,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180842.425678,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180842.427671,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180842.428671,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180842.43067,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180842.4336839,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180842.4356809,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180842.437682,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180842.439671,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180842.44167,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180843.236923,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180843.237923,100,0.01,50.0045656,8.4999635,-0.15,0.12,0.0,#,#,10,4,-3.8769817365391646e-06,-8.176981282304041e-06,#,#
1563180843.2389219,100,0.01,50.0045656,8.4999635,-0.15,0.13,0.0,#,#,10,4,-3.876988103002077e-06,-8.176990377251059e-06,#,#
1563180843.239923,100,#,#,#,#,#,#,#,#,10,4,#,#,#,#
1563180843.242924,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563180843.320925,#,#,#,#,#,#,#,#,#,#,4,#,#,#,#
